,Pokemon,ClusterPokemon
254,Gloom,15
255,Gogoat,0
256,Golbat,16
257,Goldeen,14
258,Golduck,1
259,Golem,10
260,Golett,10
261,Golurk,10
262,Goodra,2
263,Goomy,2
264,Gorebyss,14
265,Gothita,6
266,Gothitelle,6
267,Gothorita,6
268,Gourgeist,0
269,Gourgeist-Large,8
270,Gourgeist-Small,8
271,Gourgeist-Super,8
272,Granbull,11
273,Graveler,10
274,Greninja,1
275,Grimer,5
276,Grotle,15
277,Grovyle,15
278,Growlithe,11
279,Grumpig,4
280,Gulpin,5
281,Gurdurr,10
282,Gyarados,2
283,Happiny,6
284,Hariyama,10
285,Haunter,5
286,Hawlucha,16
287,Haxorus,2
288,Heatmor,11
289,Heliolisk,13
290,Helioptile,13
291,Heracross,10
292,Herdier,4
293,Hippopotas,10
294,Hippowdon,10
295,Hitmonchan,10
296,Hitmonlee,10
297,Hitmontop,10
298,Honchkrow,16
299,Honedge,10
300,Ho-Oh,16
301,Hoopa,7
302,Hoopa-Unbound,7
303,Hoothoot,16
304,Hoppip,15
305,Horsea,2
306,Houndoom,11
307,Houndour,11
308,Huntail,14
309,Hydreigon,3
310,Hypno,7
311,Igglybuff,6
312,Illumise,9
313,Inkay,7
314,Ivysaur,15
315,Jellicent,14
316,Jigglypuff,12
317,Jirachi,6
318,Jolteon,7
319,Joltik,9
320,Jumpluff,15
321,Jynx,7
322,Kabuto,10
323,Kabutops,10
324,Kadabra,6
325,Kakuna,5
326,Kangaskhan,4
327,Karrablast,9
328,Kecleon,11
329,Keldeo,5
330,Kingdra,2
331,Kingler,1
332,Kirlia,12
333,Klang,13
334,Klefki,12
335,Klink,13
336,Klinklang,13
337,Koffing,5
338,Krabby,1
339,Kricketot,9
340,Kricketune,9
341,Krokorok,0
342,Krookodile,2
343,Kyogre,1
344,Kyurem,3
345,Kyurem-Black,3
346,Kyurem-White,3
347,Lairon,10
348,Lampent,11
349,Landorus,10
350,Landorus-Therian,10
351,Lanturn,13
352,Lapras,1
353,Larvesta,9
354,Larvitar,10
355,Latias,3
356,Latios,3
357,Leafeon,15
358,Leavanny,9
359,Ledian,9
360,Ledyba,9
361,Lickilicky,10
362,Lickitung,10
363,Liepard,7
364,Lileep,10
365,Lilligant,15
366,Lillipup,4
367,Linoone,4
368,Litleo,11
369,Litwick,11
370,Lombre,14
371,Lopunny,4
372,Lotad,14
373,Loudred,12
374,Lucario,10
375,Ludicolo,1
376,Lugia,3
377,Lumineon,14
378,Lunatone,6
379,Luvdisc,14
380,Luxio,13
381,Luxray,13
382,Machamp,10
383,Machoke,10
384,Machop,10
385,Magby,11
386,Magcargo,10
387,Magikarp,8
388,Magmar,11
389,Magmortar,11
390,Magnemite,6
391,Magneton,13
392,Magnezone,13
393,Makuhita,10
394,Malamar,7
395,Mamoswine,4
396,Manaphy,14
397,Mandibuzz,16
398,Manectric,13
399,Mankey,10
400,Mantine,1
401,Mantyke,14
402,Maractus,15
403,Mareep,13
404,Marill,14
405,Marowak,10
406,Marshtomp,1
407,Masquerain,9
408,Mawile,12
409,Medicham,10
410,Meditite,10
411,Meganium,15
412,Meloetta,6
413,Meowstic-F,12
414,Meowstic-M,12
415,Meowth,4
416,Metagross,6
417,Metang,6
418,Metapod,8
419,Mew,6
420,Mewtwo,6
421,Mienfoo,0
422,Mienshao,0
423,Mightyena,4
424,Milotic,2
425,Miltank,1
426,Mime Jr.,15
427,Minccino,7
428,Minun,13
429,Misdreavus,7
430,Mismagius,7
431,Moltres,16
432,Monferno,11
433,Mothim,9
434,Mr. Mime,6
435,Mudkip,1
436,Muk,5
437,Munchlax,4
438,Munna,6
439,Murkrow,16
440,Musharna,6
441,Natu,16
442,Nidoking,5
443,Nidoqueen,5
444,Nidoran-F,5
445,Nidoran-M,5
446,Nidorina,5
447,Nidorino,5
448,Nincada,9
449,Ninetales,11
450,Ninjask,9
451,Noctowl,16
452,Noibat,16
453,Noivern,3
454,Nosepass,10
455,Numel,10
456,Nuzleaf,0
457,Octillery,14
458,Oddish,15
459,Omanyte,10
460,Omastar,10
461,Onix,2
462,Oshawott,14
463,Pachirisu,13
464,Palkia,2
465,Palpitoad,5
466,Pancham,4
467,Pangoro,4
468,Panpour,1
469,Pansage,12
470,Pansear,11
471,Paras,15
472,Parasect,15
473,Patrat,15
474,Pawniard,0
475,Pelipper,14
476,Persian,4
477,Petilil,15
478,Phanpy,4
479,Phantump,0
480,Phione,14
481,Pichu,12
482,Pidgeot,16
483,Pidgeotto,16
484,Pidgey,16
485,Pidove,16
486,Pignite,11
487,Pikachu,12
488,Piloswine,4
489,Pineco,10
490,Pinsir,10
491,Piplup,14
492,Plusle,13
493,Politoed,14
494,Poliwag,14
495,Poliwhirl,14
496,Poliwrath,1
497,Ponyta,11
498,Poochyena,4
499,Porygon,6
500,Porygon2,6
501,Porygon-Z,6
502,Primeape,10
503,Prinplup,1
504,Probopass,10
505,Psyduck,14
506,Pumpkaboo,0
507,Pumpkaboo-Large,8
508,Pumpkaboo-Small,8
509,Pumpkaboo-Super,8
510,Pupitar,10
511,Purrloin,7
512,Purugly,14
513,Pyroar,11
514,Quagsire,1
515,Quilava,11
516,Quilladin,0
517,Qwilfish,5
518,Raichu,12
519,Raikou,10
520,Ralts,12
521,Rampardos,10
522,Rapidash,11
523,Raticate,0
524,Rattata,0
525,Regice,10
526,Regigigas,10
527,Regirock,10
528,Registeel,10
529,Relicanth,1
530,Remoraid,14
531,Reshiram,3
532,Reuniclus,6
533,Rhydon,2
534,Rhyhorn,10
535,Rhyperior,2
536,Riolu,10
537,Roggenrola,10
538,Roselia,5
539,Roserade,15
540,Rotom,13
541,Rotom-Fan,13
542,Rotom-Frost,13
543,Rotom-Heat,13
544,Rotom-Mow,13
545,Rotom-Wash,13
546,Rufflet,16
547,Sableye,6
548,Salamence,3
549,Samurott,14
550,Sandile,10
551,Sandshrew,0
552,Sandslash,0
553,Sawk,0
554,Sawsbuck,4
555,Scatterbug,5
556,Sceptile,2
557,Scizor,9
558,Scolipede,5
559,Scrafty,2
560,Scraggy,2
561,Scyther,9
562,Seadra,2
563,Seaking,14
564,Sealeo,1
565,Seedot,15
566,Seel,14
567,Seismitoad,0
568,Sentret,4
569,Serperior,15
570,Servine,15
571,Seviper,5
572,Sewaddle,9
573,Sharpedo,5
574,Shaymin,15
575,Shaymin-Sky,15
576,Shedinja,9
577,Shelgon,2
578,Shellder,1
579,Shellos,5
580,Shelmet,9
581,Shieldon,10
582,Shiftry,0
583,Shinx,13
584,Shroomish,5
585,Shuckle,10
586,Shuppet,7
587,Sigilyph,16
588,Silcoon,5
589,Simipour,1
590,Simisage,0
591,Simisear,11
592,Skarmory,16
593,Skiddo,0
594,Skiploom,15
595,Skitty,4
596,Skorupi,5
597,Skrelp,5
598,Skuntank,5
599,Slaking,10
600,Slakoth,11
601,Sliggoo,2
602,Slowbro,1
603,Slowking,1
604,Slowpoke,14
605,Slugma,10
606,Slurpuff,12
607,Smeargle,8
608,Smoochum,7
609,Sneasel,4
610,Snivy,15
611,Snorlax,10
612,Snorunt,14
613,Snover,15
614,Snubbull,11
615,Solosis,6
616,Solrock,6
617,Spearow,16
618,Spewpa,5
619,Spheal,1
620,Spinarak,5
621,Spinda,1
622,Spiritomb,7
623,Spoink,4
624,Spritzee,12
625,Squirtle,1
626,Stantler,6
627,Staraptor,16
628,Staravia,16
629,Starly,16
630,Starmie,14
631,Staryu,14
632,Steelix,2
633,Steelix-Mega,2
634,Stoutland,4
635,Stunfisk,1
636,Stunky,5
637,Sudowoodo,10
638,Suicune,1
639,Sunflora,15
640,Sunkern,15
641,Surskit,14
642,Swablu,3
643,Swadloon,9
644,Swalot,5
645,Swampert,1
646,Swanna,14
647,Swellow,16
648,Swinub,4
649,Swirlix,12
650,Swoobat,16
651,Sylveon,12
652,Taillow,16
653,Talonflame,16
654,Tangela,15
655,Tangrowth,0
656,Tauros,10
657,Teddiursa,4
658,Tentacool,5
659,Tentacruel,5
660,Tepig,11
661,Terrakion,10
662,Throh,0
663,Thundurus,13
664,Thundurus-Therian,13
665,Timburr,10
666,Tirtouga,10
667,Togekiss,16
668,Togepi,4
669,Togetic,16
670,Torchic,11
671,Torkoal,11
672,Tornadus,7
673,Tornadus-Therian,7
674,Torterra,0
675,Totodile,1
676,Toxicroak,5
677,Tranquill,16
678,Trapinch,10
679,Treecko,15
680,Trevenant,0
681,Tropius,3
682,Trubbish,5
683,Turtwig,15
684,Tympole,5
685,Tynamo,6
686,Typhlosion,11
687,Tyranitar,2
688,Tyrantrum,2
689,Tyrogue,10
690,Tyrunt,2
691,Umbreon,7
692,Unfezant,16
693,Unown,8
694,Ursaring,10
695,Uxie,11
696,Vanillish,14
697,Vanillite,14
698,Vanilluxe,14
699,Vaporeon,1
700,Venipede,5
701,Venomoth,9
702,Venonat,5
703,Venusaur,15
704,Vespiquen,9
705,Vibrava,3
706,Victini,11
707,Victreebel,5
708,Vigoroth,10
709,Vileplume,15
710,Virizion,0
711,Vivillon,9
712,Volbeat,9
713,Volcanion,10
714,Volcarona,9
715,Voltorb,13
716,Vullaby,16
717,Vulpix,11
718,Wailmer,1
719,Wailord,1
720,Walrein,1
721,Wartortle,1
722,Watchog,4
723,Weavile,4
724,Weedle,5
725,Weepinbell,5
726,Weezing,5
727,Whimsicott,15
728,Whirlipede,5
729,Whiscash,1
730,Whismur,12
731,Wigglytuff,12
732,Wingull,14
733,Wobbuffet,8
734,Woobat,16
735,Wooper,1
736,Wormadam,9
737,Wormadam-Sandy,9
738,Wormadam-Trash,9
739,Wurmple,5
740,Wynaut,8
741,Xatu,16
742,Yamask,7
743,Yanma,9
744,Yanmega,9
745,Yveltal,3
746,Zangoose,10
747,Zapdos,16
748,Zebstrika,13
749,Zekrom,3
750,Zigzagoon,4
751,Zoroark,7
752,Zorua,7
753,Zubat,16
754,Zweilous,2
755,Zygarde,2
