,Pokemon,ClusterPokemon
168,Dragonite,16
169,Drapion,3
170,Dratini,16
171,Drifblim,3
172,Drifloon,3
173,Drilbur,10
174,Drowzee,7
175,Druddigon,4
176,Ducklett,2
177,Dugtrio,6
178,Dunsparce,10
179,Duosion,13
180,Durant,10
181,Dusclops,10
182,Dusknoir,10
183,Duskull,0
184,Dustox,12
185,Dwebble,10
186,Eelektrik,3
187,Eelektross,4
188,Eevee,15
189,Ekans,3
190,Electabuzz,6
191,Electivire,5
192,Electrike,5
193,Electrode,5
194,Elekid,6
195,Elgyem,0
196,Emboar,7
197,Emolga,5
198,Empoleon,2
199,Entei,14
200,Escavalier,12
201,Espeon,15
202,Espurr,11
203,Excadrill,13
204,Exeggcute,0
205,Exeggutor,0
206,Exploud,6
207,Farfetch'd,9
208,Fearow,9
209,Feebas,16
210,Fennekin,7
211,Feraligatr,16
212,Ferroseed,13
213,Ferrothorn,13
214,Finneon,2
215,Flaaffy,5
216,Flabebe,11
217,Flareon,14
218,Fletchinder,9
219,Fletchling,9
220,Floatzel,2
221,Floette,11
222,Floette-Eternal,11
223,Florges,11
224,Flygon,16
225,Foongus,3
226,Forretress,13
227,Fraxure,16
228,Frillish,2
229,Froakie,2
230,Frogadier,2
231,Froslass,15
232,Furfrou,15
233,Furret,15
234,Gabite,16
235,Gallade,11
236,Galvantula,12
237,Garbodor,3
238,Gardevoir,11
239,Gastly,3
240,Gastrodon,10
241,Genesect,12
242,Gengar,3
243,Geodude,10
244,Gible,16
245,Gigalith,13
246,Girafarig,15
247,Giratina,16
248,Giratina-Origin,16
249,Glaceon,15
250,Glalie,2
251,Glameow,15
252,Gligar,3
253,Gliscor,3
254,Gloom,8
255,Gogoat,6
256,Golbat,9
257,Goldeen,2
258,Golduck,2
259,Golem,10
260,Golett,13
261,Golurk,13
262,Goodra,4
263,Goomy,4
264,Gorebyss,2
265,Gothita,0
266,Gothitelle,0
267,Gothorita,0
268,Gourgeist,10
269,Gourgeist-Large,1
270,Gourgeist-Small,1
271,Gourgeist-Super,1
272,Granbull,14
273,Graveler,10
274,Greninja,2
275,Grimer,3
276,Grotle,8
277,Grovyle,8
278,Growlithe,14
279,Grumpig,7
280,Gulpin,3
281,Gurdurr,10
282,Gyarados,16
283,Happiny,0
284,Hariyama,10
285,Haunter,3
286,Hawlucha,9
287,Haxorus,16
288,Heatmor,14
289,Heliolisk,5
290,Helioptile,5
291,Heracross,13
292,Herdier,6
293,Hippopotas,10
294,Hippowdon,10
295,Hitmonchan,10
296,Hitmonlee,10
297,Hitmontop,10
298,Honchkrow,9
299,Honedge,13
300,Ho-Oh,9
301,Hoopa,0
302,Hoopa-Unbound,0
303,Hoothoot,9
304,Hoppip,11
305,Horsea,16
306,Houndoom,14
307,Houndour,14
308,Huntail,2
309,Hydreigon,16
310,Hypno,7
311,Igglybuff,0
312,Illumise,12
313,Inkay,6
314,Ivysaur,8
315,Jellicent,2
316,Jigglypuff,11
317,Jirachi,0
318,Jolteon,15
319,Joltik,12
320,Jumpluff,11
321,Jynx,15
322,Kabuto,10
323,Kabutops,10
324,Kadabra,0
325,Kakuna,3
326,Kangaskhan,10
327,Karrablast,12
328,Kecleon,14
329,Keldeo,3
330,Kingdra,16
331,Kingler,6
332,Kirlia,11
333,Klang,5
334,Klefki,11
335,Klink,5
336,Klinklang,5
337,Koffing,3
338,Krabby,6
339,Kricketot,12
340,Kricketune,12
341,Krokorok,6
342,Krookodile,4
343,Kyogre,2
344,Kyurem,16
345,Kyurem-Black,16
346,Kyurem-White,16
347,Lairon,10
348,Lampent,14
349,Landorus,13
350,Landorus-Therian,13
351,Lanturn,5
352,Lapras,2
353,Larvesta,12
354,Larvitar,10
355,Latias,16
356,Latios,16
357,Leafeon,8
358,Leavanny,12
359,Ledian,12
360,Ledyba,12
361,Lickilicky,10
362,Lickitung,10
363,Liepard,15
364,Lileep,13
365,Lilligant,8
366,Lillipup,6
367,Linoone,15
368,Litleo,14
369,Litwick,14
370,Lombre,2
371,Lopunny,15
372,Lotad,2
373,Loudred,6
374,Lucario,10
375,Ludicolo,2
376,Lugia,16
377,Lumineon,2
378,Lunatone,13
379,Luvdisc,2
380,Luxio,5
381,Luxray,5
382,Machamp,10
383,Machoke,10
384,Machop,10
385,Magby,14
386,Magcargo,10
387,Magikarp,1
388,Magmar,14
389,Magmortar,14
390,Magnemite,0
391,Magneton,5
392,Magnezone,5
393,Makuhita,10
394,Malamar,6
395,Mamoswine,10
396,Manaphy,2
397,Mandibuzz,9
398,Manectric,5
399,Mankey,10
400,Mantine,2
401,Mantyke,2
402,Maractus,8
403,Mareep,5
404,Marill,2
405,Marowak,6
406,Marshtomp,10
407,Masquerain,12
408,Mawile,6
409,Medicham,13
410,Meditite,13
411,Meganium,8
412,Meloetta,0
413,Meowstic-F,11
414,Meowstic-M,0
415,Meowth,15
416,Metagross,13
417,Metang,13
418,Metapod,1
419,Mew,4
420,Mewtwo,0
421,Mienfoo,6
422,Mienshao,6
423,Mightyena,15
424,Milotic,16
425,Miltank,10
426,Mime Jr.,8
427,Minccino,15
428,Minun,5
429,Misdreavus,15
430,Mismagius,15
431,Moltres,9
432,Monferno,14
433,Mothim,12
434,Mr. Mime,0
435,Mudkip,10
436,Muk,3
437,Munchlax,10
438,Munna,13
439,Murkrow,9
440,Musharna,13
441,Natu,9
442,Nidoking,6
443,Nidoqueen,3
444,Nidoran-F,3
445,Nidoran-M,3
446,Nidorina,3
447,Nidorino,3
448,Nincada,12
449,Ninetales,14
450,Ninjask,12
451,Noctowl,9
452,Noibat,9
453,Noivern,16
454,Nosepass,13
455,Numel,10
456,Nuzleaf,6
457,Octillery,2
458,Oddish,8
459,Omanyte,10
460,Omastar,10
461,Onix,4
462,Oshawott,2
463,Pachirisu,5
464,Palkia,16
465,Palpitoad,3
466,Pancham,6
467,Pangoro,6
468,Panpour,2
469,Pansage,11
470,Pansear,14
471,Paras,8
472,Parasect,8
473,Patrat,8
474,Pawniard,6
475,Pelipper,2
476,Persian,15
477,Petilil,8
478,Phanpy,6
479,Phantump,8
480,Phione,2
481,Pichu,11
482,Pidgeot,9
483,Pidgeotto,9
484,Pidgey,9
485,Pidove,9
486,Pignite,7
487,Pikachu,11
488,Piloswine,10
489,Pineco,13
490,Pinsir,10
491,Piplup,2
492,Plusle,5
493,Politoed,2
494,Poliwag,2
495,Poliwhirl,2
496,Poliwrath,2
497,Ponyta,14
498,Poochyena,15
499,Porygon,0
500,Porygon2,0
501,Porygon-Z,0
502,Primeape,10
503,Prinplup,2
504,Probopass,13
505,Psyduck,2
506,Pumpkaboo,10
507,Pumpkaboo-Large,1
508,Pumpkaboo-Small,1
509,Pumpkaboo-Super,1
510,Pupitar,10
511,Purrloin,15
512,Purugly,15
513,Pyroar,14
514,Quagsire,2
515,Quilava,7
516,Quilladin,8
517,Qwilfish,3
518,Raichu,11
519,Raikou,13
520,Ralts,11
521,Rampardos,4
522,Rapidash,14
523,Raticate,6
524,Rattata,6
525,Regice,10
526,Regigigas,13
527,Regirock,13
528,Registeel,13
529,Relicanth,2
530,Remoraid,2
531,Reshiram,16
532,Reuniclus,13
533,Rhydon,4
534,Rhyhorn,4
535,Rhyperior,4
536,Riolu,10
537,Roggenrola,13
538,Roselia,3
539,Roserade,8
540,Rotom,5
541,Rotom-Fan,5
542,Rotom-Frost,5
543,Rotom-Heat,5
544,Rotom-Mow,5
545,Rotom-Wash,5
546,Rufflet,9
547,Sableye,0
548,Salamence,16
549,Samurott,2
550,Sandile,6
551,Sandshrew,6
552,Sandslash,6
553,Sawk,6
554,Sawsbuck,15
555,Scatterbug,3
556,Sceptile,4
557,Scizor,12
558,Scolipede,3
559,Scrafty,4
560,Scraggy,4
561,Scyther,12
562,Seadra,16
563,Seaking,2
564,Sealeo,2
565,Seedot,8
566,Seel,2
567,Seismitoad,6
568,Sentret,15
569,Serperior,8
570,Servine,8
571,Seviper,3
572,Sewaddle,12
573,Sharpedo,6
574,Shaymin,8
575,Shaymin-Sky,8
576,Shedinja,12
577,Shelgon,16
578,Shellder,15
579,Shellos,3
580,Shelmet,12
581,Shieldon,10
582,Shiftry,6
583,Shinx,5
584,Shroomish,3
585,Shuckle,13
586,Shuppet,15
587,Sigilyph,0
588,Silcoon,3
589,Simipour,2
590,Simisage,6
591,Simisear,14
592,Skarmory,9
593,Skiddo,6
594,Skiploom,11
595,Skitty,15
596,Skorupi,3
597,Skrelp,3
598,Skuntank,3
599,Slaking,10
600,Slakoth,10
601,Sliggoo,4
602,Slowbro,2
603,Slowking,2
604,Slowpoke,2
605,Slugma,10
606,Slurpuff,11
607,Smeargle,1
608,Smoochum,15
609,Sneasel,15
610,Snivy,8
611,Snorlax,10
612,Snorunt,15
613,Snover,15
614,Snubbull,14
615,Solosis,13
616,Solrock,13
617,Spearow,9
618,Spewpa,3
619,Spheal,2
620,Spinarak,3
621,Spinda,6
622,Spiritomb,0
623,Spoink,15
624,Spritzee,11
625,Squirtle,2
626,Stantler,0
627,Staraptor,9
628,Staravia,9
629,Starly,9
630,Starmie,0
631,Staryu,2
632,Steelix,4
633,Steelix-Mega,4
634,Stoutland,6
635,Stunfisk,2
636,Stunky,3
637,Sudowoodo,10
638,Suicune,6
639,Sunflora,8
640,Sunkern,8
641,Surskit,2
642,Swablu,16
643,Swadloon,12
644,Swalot,3
645,Swampert,10
646,Swanna,2
647,Swellow,9
648,Swinub,10
649,Swirlix,11
650,Swoobat,9
651,Sylveon,11
652,Taillow,9
653,Talonflame,9
654,Tangela,8
655,Tangrowth,8
656,Tauros,10
657,Teddiursa,6
658,Tentacool,3
659,Tentacruel,3
660,Tepig,7
661,Terrakion,13
662,Throh,6
663,Thundurus,5
664,Thundurus-Therian,5
665,Timburr,10
666,Tirtouga,10
667,Togekiss,9
668,Togepi,7
669,Togetic,9
670,Torchic,14
671,Torkoal,14
672,Tornadus,3
673,Tornadus-Therian,3
674,Torterra,8
675,Totodile,2
676,Toxicroak,3
677,Tranquill,9
678,Trapinch,10
679,Treecko,8
680,Trevenant,8
681,Tropius,16
682,Trubbish,3
683,Turtwig,8
684,Tympole,3
685,Tynamo,0
686,Typhlosion,14
687,Tyranitar,4
688,Tyrantrum,4
689,Tyrogue,10
690,Tyrunt,4
691,Umbreon,15
692,Unfezant,9
693,Unown,1
694,Ursaring,6
695,Uxie,7
696,Vanillish,2
697,Vanillite,2
698,Vanilluxe,2
699,Vaporeon,2
700,Venipede,3
701,Venomoth,12
702,Venonat,3
703,Venusaur,8
704,Vespiquen,12
705,Vibrava,16
706,Victini,7
707,Victreebel,3
708,Vigoroth,10
709,Vileplume,8
710,Virizion,6
711,Vivillon,12
712,Volbeat,12
713,Volcanion,10
714,Volcarona,12
715,Voltorb,5
716,Vullaby,9
717,Vulpix,14
718,Wailmer,2
719,Wailord,2
720,Walrein,2
721,Wartortle,2
722,Watchog,7
723,Weavile,15
724,Weedle,3
725,Weepinbell,3
726,Weezing,3
727,Whimsicott,11
728,Whirlipede,3
729,Whiscash,2
730,Whismur,11
731,Wigglytuff,11
732,Wingull,2
733,Wobbuffet,1
734,Woobat,9
735,Wooper,2
736,Wormadam,12
737,Wormadam-Sandy,12
738,Wormadam-Trash,12
739,Wurmple,3
740,Wynaut,1
741,Xatu,9
742,Yamask,0
743,Yanma,12
744,Yanmega,12
745,Yveltal,16
746,Zangoose,6
747,Zapdos,9
748,Zebstrika,5
749,Zekrom,16
750,Zigzagoon,15
751,Zoroark,15
752,Zorua,15
753,Zubat,9
754,Zweilous,16
755,Zygarde,16
