,NombresPokemon,TipoDominante,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,poison,psychic,rock,steel,water
59,Beautifly,poison,2,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0
60,Beedrill,poison,1,0,0,0,0,0,0,2,0,0,0,1,9,0,1,0,0
61,Beheeyem,dark,0,2,0,0,0,0,0,1,0,0,2,1,2,1,2,1,0
62,Beldum,bug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Bellossom,poison,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0
64,Bellsprout,poison,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
65,Bergmite,rock,0,0,0,0,0,0,0,0,1,0,0,3,2,0,4,0,1
66,Bibarel,water,0,0,0,0,0,1,0,0,1,2,0,2,2,0,2,0,3
67,Bidoof,ice,0,0,0,0,0,1,0,0,1,1,0,2,2,0,2,0,1
68,Binacle,poison,0,0,0,0,0,0,0,0,0,1,1,2,6,0,4,0,3
69,Bisharp,poison,0,1,0,0,0,0,0,0,0,1,1,2,4,0,3,0,0
70,Blastoise,rock,0,1,2,0,0,1,1,0,1,1,1,2,2,0,4,0,4
71,Blaziken,fire,0,0,0,0,0,0,4,1,1,1,0,3,4,0,4,0,1
72,Blissey,ice,0,0,0,0,0,0,2,1,0,1,1,4,2,0,4,0,1
73,Blitzle,poison,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
74,Boldore,rock,0,0,0,0,0,0,0,1,1,0,2,0,2,0,5,0,0
75,Bonsly,rock,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,0,0
76,Bouffalant,poison,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
77,Braixen,fire,0,0,0,0,0,0,4,0,0,2,0,1,2,0,0,0,1
78,Braviary,rock,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,1,0
79,Breloom,poison,0,0,0,0,0,0,0,1,0,1,0,0,5,0,3,0,0
80,Bronzong,rock,0,0,0,0,0,0,0,1,0,1,2,0,2,0,4,0,0
81,Bronzor,rock,0,0,0,0,0,0,0,1,0,1,2,0,2,0,3,0,0
82,Budew,poison,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1
83,Buizel,ice,0,0,0,0,0,1,0,0,0,0,0,4,2,0,2,0,4
84,Bulbasaur,poison,0,0,0,0,0,0,0,0,1,5,1,1,6,0,1,0,1
85,Buneary,ice,0,0,0,0,0,1,1,1,1,1,0,4,2,0,1,0,1
86,Bunnelby,poison,0,0,0,0,0,1,0,0,0,1,1,2,3,0,3,0,0
87,Burmy,bug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Butterfree,poison,2,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0
89,Cacnea,poison,0,1,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0
90,Cacturne,poison,0,1,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0
91,Camerupt,rock,0,0,0,0,0,0,1,0,1,0,0,1,2,0,4,0,0
92,Carbink,rock,0,0,0,0,0,0,0,1,0,0,3,0,2,0,4,0,0
93,Carnivine,poison,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0
94,Carracosta,rock,0,0,0,0,0,0,0,0,1,0,1,1,2,0,5,0,2
95,Carvanha,poison,0,1,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1
96,Cascoon,poison,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
97,Castform,poison,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2
98,Caterpie,bug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Celebi,poison,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1
100,Chandelure,poison,0,1,0,0,0,0,2,0,1,0,1,0,3,0,0,0,0
101,Chansey,ice,0,0,0,0,0,0,2,1,0,1,1,4,2,0,4,0,1
102,Charmander,dragon,0,0,5,0,0,0,5,0,0,1,0,1,2,0,3,0,1
103,Charmeleon,dragon,0,0,5,0,0,0,5,0,0,1,0,1,2,0,3,0,1
104,Chatot,ice,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,1,0
105,Cherrim,grass,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0
106,Cherubi,grass,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0
107,Chesnaught,poison,0,0,1,0,0,0,0,0,1,3,1,1,5,0,3,0,1
108,Chespin,poison,0,0,0,0,0,0,0,0,1,3,1,1,5,0,3,0,1
109,Chikorita,grass,0,0,0,0,0,0,0,0,0,5,1,1,3,0,0,0,1
110,Chimchar,fire,0,0,0,0,0,0,4,0,0,2,0,2,3,0,2,0,1
111,Chimecho,ice,0,0,0,0,0,0,0,1,1,1,2,3,2,0,0,0,0
112,Chinchou,water,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,3
113,Chingling,ice,0,0,0,0,0,0,0,1,1,1,2,3,2,0,0,0,0
114,Cinccino,poison,0,0,0,0,0,0,0,0,0,1,0,2,3,0,1,0,0
115,Clamperl,poison,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2
116,Clauncher,poison,0,0,1,0,0,0,0,0,0,0,1,2,5,0,1,0,3
117,Clawitzer,poison,0,1,1,0,0,0,0,0,0,0,1,2,5,0,1,0,3
118,Claydol,rock,0,0,0,0,0,0,0,1,0,1,3,1,2,0,4,0,0
119,Clefairy,ice,0,0,1,0,1,0,2,1,0,1,3,5,2,0,1,0,1
120,Cleffa,ground,0,0,1,0,0,0,1,1,0,1,3,2,2,0,0,0,1
121,Cloyster,poison,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,1
122,Cobalion,poison,0,0,0,0,0,0,0,0,0,0,1,1,4,0,2,0,0
123,Cofagrigus,poison,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0
124,Combee,bug,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Combusken,fire,0,0,0,0,0,0,4,1,1,1,0,3,4,0,3,0,1
126,Conkeldurr,poison,0,0,0,0,0,1,1,0,1,1,1,1,4,0,4,0,0
127,Corphish,ice,0,0,1,0,0,0,0,0,0,0,0,3,3,0,3,0,2
128,Corsola,rock,0,0,0,0,0,0,0,0,1,0,0,1,2,0,5,0,1
129,Cottonee,poison,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0
130,Cradily,poison,0,0,0,0,0,0,0,0,1,1,1,0,4,0,4,0,0
131,Cranidos,rock,0,0,1,0,0,0,2,0,1,0,1,1,2,0,5,0,0
132,Crawdaunt,poison,0,1,1,0,0,0,0,0,0,0,0,3,4,0,3,0,2
133,Cresselia,ground,0,0,0,0,0,0,0,1,0,1,2,1,2,0,0,0,0
134,Croagunk,poison,0,1,0,0,0,0,0,0,0,0,0,3,10,0,4,0,0
135,Crobat,poison,0,1,0,0,0,0,0,2,1,0,0,1,8,0,0,1,0
136,Croconaw,water,0,0,2,0,0,0,1,0,0,1,0,3,2,0,3,0,4
137,Crustle,rock,1,0,0,0,0,0,0,0,1,1,1,0,4,0,6,0,0
138,Cryogonal,poison,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2
139,Cubchoo,ice,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2,0,1
140,Cubone,ice,0,0,0,0,0,0,2,0,0,0,1,4,2,0,4,0,0
141,Cyndaquil,fire,0,0,0,0,0,1,2,0,1,1,0,1,2,0,0,0,1
142,Darkrai,poison,0,2,0,0,0,0,0,0,0,0,0,2,5,0,4,0,0
143,Darmanitan,fire,0,0,0,0,0,0,3,0,0,1,1,1,2,0,3,0,0
144,Darumaka,fire,0,0,0,0,0,0,3,0,0,1,0,0,2,0,3,0,0
145,Dedenne,poison,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0
146,Deerling,grass,0,0,0,0,0,1,0,0,0,2,0,2,2,0,0,0,0
147,Deino,dragon,0,1,5,0,0,0,1,0,0,0,0,4,2,0,1,0,0
148,Delcatty,ice,0,0,0,0,0,1,0,0,1,1,0,3,2,0,1,0,1
149,Delibird,ice,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,2
150,Delphox,fire,0,0,0,0,0,0,4,0,0,2,0,1,2,0,0,0,1
151,Deoxys,poison,0,1,0,0,0,0,1,1,0,1,2,3,4,0,3,0,1
152,Deoxys-Attack,poison,0,1,0,0,0,0,1,1,0,1,2,3,4,0,3,0,1
153,Deoxys-Defense,poison,0,1,0,0,0,0,1,1,0,1,2,3,4,0,3,0,1
154,Deoxys-Speed,poison,0,1,0,0,0,0,1,1,0,1,2,3,4,0,3,0,1
155,Dewgong,ice,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2
156,Dewott,water,0,0,0,0,0,0,1,0,0,2,0,1,2,0,1,0,4
157,Dialga,dragon,0,0,4,0,0,0,1,1,0,0,2,3,2,0,3,0,0
158,Diancie,rock,0,0,0,0,0,0,0,1,0,0,3,0,2,0,4,0,0
159,Diggersby,poison,0,0,0,0,0,1,1,0,0,2,1,3,4,0,3,0,0
160,Diglett,poison,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0
161,Ditto,bug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Dodrio,ice,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,1,0
163,Doduo,flying,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,1,0
164,Donphan,poison,0,0,0,0,0,1,1,0,0,0,0,3,5,0,4,0,0
165,Doublade,poison,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0
166,Dragalge,poison,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,2
167,Dragonair,dragon,0,0,6,0,0,0,1,0,0,0,0,1,2,0,0,0,1
168,Dragonite,dragon,0,0,7,0,0,0,2,2,0,0,0,2,2,0,3,1,1
169,Drapion,poison,1,1,0,0,0,0,1,0,0,0,0,3,14,0,4,0,0
170,Dratini,dragon,0,0,6,0,0,0,1,0,0,0,0,1,2,0,0,0,1
171,Drifblim,poison,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
172,Drifloon,poison,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
173,Drilbur,poison,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0
174,Drowzee,poison,0,0,0,0,0,0,1,0,0,1,1,2,3,0,0,0,0
175,Druddigon,poison,0,1,4,0,0,0,2,0,0,0,1,1,6,0,4,0,0
176,Ducklett,water,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,3
177,Dugtrio,poison,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,0,0
178,Dunsparce,poison,0,0,0,0,0,0,1,2,1,0,0,1,4,0,3,0,1
179,Duosion,ground,0,0,0,0,0,0,0,1,0,0,2,0,2,0,2,0,0
180,Durant,rock,1,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,0
181,Dusclops,ice,0,1,0,0,0,1,1,1,2,0,2,3,2,0,3,0,0
182,Dusknoir,ice,0,1,0,0,0,1,1,1,2,0,2,3,2,0,3,0,0
183,Duskull,ghost,0,1,0,0,0,1,0,1,2,0,2,2,2,0,0,0,0
184,Dustox,poison,2,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0
185,Dwebble,rock,1,0,0,0,0,0,0,0,1,1,1,0,4,0,6,0,0
186,Eelektrik,poison,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
187,Eelektross,dragon,0,0,3,1,0,0,1,0,0,1,1,0,2,0,3,0,0
188,Eevee,ice,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0
189,Ekans,poison,0,1,0,0,0,0,0,0,0,0,0,1,14,0,2,0,0
190,Electabuzz,ice,0,0,0,0,0,0,1,0,0,0,1,2,2,0,2,0,0
191,Electivire,rock,0,0,0,3,0,0,1,0,0,0,2,3,2,0,4,0,0
192,Electrike,poison,0,0,0,1,0,1,1,0,1,0,1,1,2,0,0,0,0
193,Electrode,poison,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
194,Elekid,ice,0,0,0,0,0,0,1,0,0,0,1,2,2,0,1,0,0
195,Elgyem,dark,0,2,0,0,0,0,0,1,0,0,2,1,2,1,2,1,0
196,Emboar,poison,0,0,0,0,0,1,3,0,1,2,1,1,5,0,3,0,1
197,Emolga,electric,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0
198,Empoleon,rock,0,0,0,0,0,0,1,0,0,2,0,3,2,0,4,1,3
199,Entei,fire,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0
200,Escavalier,poison,2,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0
201,Espeon,ice,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0
202,Espurr,ice,0,1,0,0,1,0,0,1,0,0,1,3,2,0,0,0,0
203,Excadrill,poison,0,0,0,0,0,0,0,0,0,1,1,0,5,0,4,0,0
204,Exeggcute,poison,0,0,0,0,0,0,0,1,1,2,3,0,4,0,1,0,0
205,Exeggutor,poison,0,0,0,0,0,0,0,1,1,2,3,0,4,0,1,0,0
206,Exploud,ice,0,0,0,0,1,0,3,0,0,0,1,7,2,0,4,0,1
207,Farfetch'd,poison,0,0,0,0,0,1,0,2,2,0,0,0,4,0,0,1,0
208,Fearow,flying,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,0
209,Feebas,dragon,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1
210,Fennekin,fire,0,0,0,0,0,0,3,0,0,2,0,1,2,0,0,0,1
211,Feraligatr,dragon,0,0,4,0,0,0,1,0,0,1,0,3,2,0,4,0,4
212,Ferroseed,poison,0,0,0,0,0,0,0,1,1,0,2,0,4,0,3,0,0
213,Ferrothorn,poison,0,0,0,0,0,0,0,1,1,1,2,0,4,0,3,0,0
214,Finneon,water,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3
215,Flaaffy,electric,0,0,0,3,0,1,1,0,0,0,2,1,2,0,1,0,0
216,Flabebe,grass,0,0,1,0,1,0,0,0,0,2,2,1,2,0,0,0,0
217,Flareon,fire,0,0,0,0,0,0,3,0,1,0,0,2,3,0,1,0,0
218,Fletchinder,flying,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,0
219,Fletchling,flying,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0
220,Floatzel,ice,0,0,0,0,0,1,0,0,0,0,0,6,2,0,2,0,4
221,Floette,grass,0,0,1,0,1,0,0,0,0,2,2,1,2,0,0,0,0
222,Floette-Eternal,grass,0,0,1,0,1,0,0,0,0,2,2,1,2,0,0,0,0
223,Florges,grass,0,0,1,0,2,0,0,0,0,3,2,2,2,0,0,0,0
224,Flygon,dragon,2,0,5,0,0,0,2,2,0,0,0,0,2,0,3,1,0
225,Foongus,poison,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
226,Forretress,rock,1,0,0,0,0,0,0,1,0,0,2,0,3,0,4,0,0
227,Fraxure,dragon,0,0,5,0,0,0,0,0,0,0,0,1,4,0,2,0,0
228,Frillish,poison,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3
229,Froakie,rock,0,0,0,0,0,0,1,0,0,2,1,2,2,0,3,0,3
230,Frogadier,ice,0,1,0,0,0,0,1,0,0,2,1,3,3,0,3,0,3
231,Froslass,ice,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,1
232,Furfrou,ice,0,1,0,0,0,1,0,0,0,1,0,2,2,0,1,0,0
233,Furret,ice,0,0,0,0,0,1,1,0,1,1,0,4,2,0,1,0,1
234,Gabite,dragon,0,0,5,0,0,0,1,0,0,0,0,1,2,0,4,0,0
235,Gallade,ice,0,0,1,0,1,0,1,0,0,1,2,6,4,0,3,0,0
236,Galvantula,poison,2,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0
237,Garbodor,poison,0,1,0,0,0,0,0,0,1,0,1,0,8,0,2,0,0
238,Gardevoir,ice,0,0,1,0,1,0,1,0,0,1,2,5,2,0,0,0,0
239,Gastly,poison,0,1,0,0,0,0,1,0,1,0,1,2,6,0,0,0,0
240,Gastrodon,poison,0,0,0,0,0,0,0,0,1,0,0,1,5,0,3,0,1
241,Genesect,poison,2,1,0,0,0,0,0,1,0,0,2,1,3,0,1,0,0
242,Gengar,poison,0,1,0,0,0,0,1,0,1,0,1,2,8,0,1,0,0
243,Geodude,rock,0,0,0,0,0,0,2,0,1,0,1,0,2,0,7,0,0
244,Gible,dragon,0,0,5,0,0,0,1,0,0,0,0,0,2,0,4,0,0
245,Gigalith,rock,0,0,0,0,0,0,0,1,1,0,2,0,2,0,5,0,0
246,Girafarig,ice,0,0,0,0,0,2,0,1,1,1,2,4,2,0,1,0,0
247,Giratina,dragon,0,1,4,0,0,0,0,1,0,0,2,2,2,0,2,1,0
248,Giratina-Origin,dragon,0,1,4,0,0,0,0,1,0,0,2,2,2,0,2,1,0
249,Glaceon,ice,0,0,0,0,0,0,0,0,1,0,0,5,2,0,1,0,1
250,Glalie,ice,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2
251,Glameow,ice,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1
252,Gligar,poison,1,1,0,0,0,0,0,3,0,0,0,1,11,0,5,1,0
253,Gliscor,poison,1,1,0,0,0,0,1,3,0,0,0,2,11,0,5,1,0
254,Gloom,poison,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0
255,Gogoat,poison,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0
256,Golbat,poison,0,0,0,0,0,0,0,2,1,0,0,1,7,0,0,1,0
257,Goldeen,poison,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3
258,Golduck,water,0,0,0,0,0,1,0,0,1,0,1,2,2,0,2,0,4
259,Golem,rock,0,0,0,0,0,0,2,0,1,0,1,0,2,0,7,0,0
260,Golett,rock,0,0,0,0,0,0,1,1,1,1,2,2,2,0,4,0,0
261,Golurk,rock,0,0,0,0,0,0,1,1,1,1,2,2,2,0,4,0,0
262,Goodra,poison,0,0,3,0,0,0,2,0,1,0,0,1,6,0,2,0,1
263,Goomy,poison,0,0,2,0,0,0,0,0,1,0,0,0,6,0,1,0,1
264,Gorebyss,water,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,3
265,Gothita,dark,0,2,0,0,0,0,0,1,0,1,2,2,2,1,2,0,0
266,Gothitelle,dark,0,2,0,0,0,0,0,1,0,1,2,2,2,1,2,0,0
267,Gothorita,dark,0,2,0,0,0,0,0,1,0,1,2,2,2,1,2,0,0
268,Gourgeist,poison,0,1,0,0,0,0,1,0,1,1,0,0,3,0,2,0,0
269,Gourgeist-Large,bug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Gourgeist-Small,bug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Gourgeist-Super,bug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Granbull,ice,0,0,0,0,0,0,3,0,0,0,0,4,3,0,4,0,1
273,Graveler,rock,0,0,0,0,0,0,2,0,1,0,1,0,2,0,7,0,0
274,Greninja,water,0,1,0,0,0,0,1,0,0,2,1,3,3,0,3,0,4
275,Grimer,poison,0,0,0,0,0,0,2,0,1,0,0,2,10,0,2,0,0
276,Grotle,grass,0,0,0,0,0,0,0,0,1,4,1,0,2,0,2,0,1
277,Grovyle,grass,0,0,1,0,0,0,0,0,0,5,1,1,2,0,3,0,1
278,Growlithe,fire,0,0,0,0,0,1,3,0,0,0,0,1,2,0,1,0,0
279,Grumpig,ice,0,0,0,0,0,1,1,0,0,1,1,2,2,0,0,0,0
280,Gulpin,poison,0,0,0,0,0,0,1,0,1,0,0,2,10,0,1,0,1
281,Gurdurr,poison,0,0,0,0,0,1,1,0,1,1,1,1,4,0,4,0,0
282,Gyarados,dragon,0,1,4,0,0,0,1,0,0,0,0,3,2,0,1,0,1
283,Happiny,ice,0,0,0,0,0,0,1,1,0,1,1,2,2,0,0,0,1
284,Hariyama,poison,0,0,0,0,0,1,1,0,1,0,1,1,4,0,4,0,0
285,Haunter,poison,0,1,0,0,0,0,1,0,1,0,1,2,8,0,0,0,0
286,Hawlucha,flying,0,0,0,0,0,1,1,4,0,1,0,2,4,0,3,1,0
287,Haxorus,dragon,0,0,5,0,0,0,0,0,0,1,0,1,4,0,3,0,0
288,Heatmor,fire,1,0,0,0,0,1,3,0,1,0,0,0,2,0,2,0,0
289,Heliolisk,electric,0,1,2,4,0,0,1,0,0,1,2,1,2,0,2,0,0
290,Helioptile,electric,0,1,1,4,0,0,0,0,0,1,2,0,2,0,2,0,0
291,Heracross,rock,1,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,0
292,Herdier,ice,0,0,0,0,0,1,1,0,0,0,0,2,2,0,2,0,0
293,Hippopotas,rock,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,1
294,Hippowdon,rock,0,0,0,0,0,0,1,0,1,0,0,1,2,0,3,0,1
295,Hitmonchan,rock,0,0,0,0,0,1,1,1,1,0,0,1,2,0,4,0,0
296,Hitmonlee,poison,0,0,0,0,0,1,0,0,1,0,0,1,4,0,4,0,0
297,Hitmontop,poison,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,0,0
298,Honchkrow,flying,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,1,0
299,Honedge,poison,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0
300,Ho-Oh,flying,0,0,0,0,0,0,1,2,0,0,0,2,2,0,1,1,0
301,Hoopa,ice,0,1,0,0,0,0,1,1,0,1,1,3,3,0,0,0,0
302,Hoopa-Unbound,ice,0,1,0,0,0,0,1,1,0,1,1,3,3,0,0,0,0
303,Hoothoot,flying,0,0,0,0,0,1,0,2,1,0,0,2,2,0,0,1,0
304,Hoppip,poison,0,0,0,0,1,0,0,0,0,2,1,0,3,0,0,0,0
305,Horsea,dragon,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,2
306,Houndoom,poison,0,1,0,0,0,1,3,0,0,0,0,2,4,0,1,0,0
