,Pokemon,ClusterPokemones
57,Bayleef,Movimientos Especiales
58,Beartic,Movimiento Ofensivo
59,Beautifly,Movimientos Especiales
60,Beedrill,Movimientos Especiales
61,Beheeyem,Movimientos Especiales
62,Beldum,Movimientos Genericos
63,Bellossom,Movimientos Especiales
64,Bellsprout,Movimientos Especiales
65,Bergmite,Movimiento Ofensivo
66,Bibarel,Movimiento Ofensivo
67,Bidoof,Movimiento Ofensivo
68,Binacle,Movimiento Ofensivo
69,Bisharp,Movimiento Ofensivo
70,Blastoise,Movimiento Ofensivo
71,Blaziken,Movimiento Ofensivo
72,Blissey,Movimiento Ofensivo
73,Blitzle,Movimientos Especiales
74,Boldore,Movimientos Especiales
75,Bonsly,Movimientos Especiales
76,Bouffalant,Movimiento Ofensivo
77,Braixen,Movimientos Especiales
78,Braviary,Movimientos Especiales
79,Breloom,Movimiento Ofensivo
80,Bronzong,Movimientos Especiales
81,Bronzor,Movimientos Especiales
82,Budew,Movimientos Especiales
83,Buizel,Movimiento Ofensivo
84,Bulbasaur,Movimientos Especiales
85,Buneary,Movimientos Especiales
86,Bunnelby,Movimiento Ofensivo
87,Burmy,Movimientos Especiales
88,Butterfree,Movimientos Especiales
89,Cacnea,Movimientos Especiales
90,Cacturne,Movimientos Especiales
91,Camerupt,Movimiento Ofensivo
92,Carbink,Movimientos Especiales
93,Carnivine,Movimientos Especiales
94,Carracosta,Movimiento Ofensivo
95,Carvanha,Movimiento Ofensivo
96,Cascoon,Movimientos Genericos
97,Castform,Movimientos Especiales
98,Caterpie,Movimientos Genericos
99,Celebi,Movimientos Especiales
100,Chandelure,Movimientos Especiales
101,Chansey,Movimiento Ofensivo
102,Charmander,Movimiento Ofensivo
103,Charmeleon,Movimiento Ofensivo
104,Chatot,Movimientos Especiales
105,Cherrim,Movimientos Especiales
106,Cherubi,Movimientos Especiales
107,Chesnaught,Movimiento Ofensivo
108,Chespin,Movimiento Ofensivo
109,Chikorita,Movimientos Especiales
110,Chimchar,Movimiento Ofensivo
111,Chimecho,Movimientos Especiales
112,Chinchou,Movimiento Ofensivo
113,Chingling,Movimientos Especiales
114,Cinccino,Movimientos Especiales
115,Clamperl,Movimientos Especiales
116,Clauncher,Movimiento Ofensivo
117,Clawitzer,Movimiento Ofensivo
118,Claydol,Movimientos Especiales
119,Clefairy,Movimientos Especiales
120,Cleffa,Movimientos Especiales
121,Cloyster,Movimiento Ofensivo
122,Cobalion,Movimientos Especiales
123,Cofagrigus,Movimientos Especiales
124,Combee,Movimientos Genericos
125,Combusken,Movimiento Ofensivo
126,Conkeldurr,Movimiento Ofensivo
127,Corphish,Movimiento Ofensivo
128,Corsola,Movimiento Ofensivo
129,Cottonee,Movimientos Especiales
130,Cradily,Movimientos Especiales
131,Cranidos,Movimiento Ofensivo
132,Crawdaunt,Movimiento Ofensivo
133,Cresselia,Movimientos Especiales
134,Croagunk,Movimiento Ofensivo
135,Crobat,Movimientos Especiales
136,Croconaw,Movimiento Ofensivo
137,Crustle,Movimiento Ofensivo
138,Cryogonal,Movimientos Especiales
139,Cubchoo,Movimiento Ofensivo
140,Cubone,Movimiento Ofensivo
141,Cyndaquil,Movimiento Ofensivo
142,Darkrai,Movimiento Ofensivo
143,Darmanitan,Movimiento Ofensivo
144,Darumaka,Movimiento Ofensivo
145,Dedenne,Movimientos Especiales
146,Deerling,Movimientos Especiales
147,Deino,Movimiento Ofensivo
148,Delcatty,Movimientos Especiales
149,Delibird,Movimiento Ofensivo
150,Delphox,Movimientos Especiales
151,Deoxys,Movimiento Ofensivo
152,Deoxys-Attack,Movimiento Ofensivo
153,Deoxys-Defense,Movimiento Ofensivo
154,Deoxys-Speed,Movimiento Ofensivo
155,Dewgong,Movimiento Ofensivo
156,Dewott,Movimiento Ofensivo
157,Dialga,Movimiento Ofensivo
158,Diancie,Movimientos Especiales
159,Diggersby,Movimiento Ofensivo
160,Diglett,Movimiento Ofensivo
161,Ditto,Movimientos Genericos
162,Dodrio,Movimientos Especiales
163,Doduo,Movimientos Especiales
164,Donphan,Movimiento Ofensivo
165,Doublade,Movimientos Especiales
166,Dragalge,Movimiento Ofensivo
167,Dragonair,Movimiento Ofensivo
168,Dragonite,Movimiento Ofensivo
169,Drapion,Movimiento Ofensivo
170,Dratini,Movimiento Ofensivo
171,Drifblim,Movimientos Especiales
172,Drifloon,Movimientos Especiales
173,Drilbur,Movimiento Ofensivo
174,Drowzee,Movimientos Especiales
175,Druddigon,Movimiento Ofensivo
176,Ducklett,Movimientos Especiales
177,Dugtrio,Movimiento Ofensivo
178,Dunsparce,Movimiento Ofensivo
179,Duosion,Movimientos Especiales
180,Durant,Movimiento Ofensivo
181,Dusclops,Movimientos Especiales
182,Dusknoir,Movimientos Especiales
183,Duskull,Movimientos Especiales
184,Dustox,Movimientos Especiales
185,Dwebble,Movimiento Ofensivo
186,Eelektrik,Movimiento Ofensivo
187,Eelektross,Movimiento Ofensivo
188,Eevee,Movimientos Especiales
189,Ekans,Movimiento Ofensivo
190,Electabuzz,Movimiento Ofensivo
191,Electivire,Movimiento Ofensivo
192,Electrike,Movimiento Ofensivo
193,Electrode,Movimientos Especiales
194,Elekid,Movimiento Ofensivo
195,Elgyem,Movimientos Especiales
196,Emboar,Movimiento Ofensivo
197,Emolga,Movimientos Especiales
198,Empoleon,Movimiento Ofensivo
199,Entei,Movimiento Ofensivo
200,Escavalier,Movimiento Ofensivo
201,Espeon,Movimientos Especiales
202,Espurr,Movimientos Especiales
203,Excadrill,Movimiento Ofensivo
204,Exeggcute,Movimientos Especiales
205,Exeggutor,Movimientos Especiales
206,Exploud,Movimiento Ofensivo
207,Farfetch'd,Movimientos Especiales
208,Fearow,Movimientos Especiales
209,Feebas,Movimientos Especiales
210,Fennekin,Movimientos Especiales
211,Feraligatr,Movimiento Ofensivo
212,Ferroseed,Movimientos Especiales
213,Ferrothorn,Movimientos Especiales
214,Finneon,Movimientos Especiales
215,Flaaffy,Movimientos Especiales
216,Flabebe,Movimientos Especiales
217,Flareon,Movimiento Ofensivo
218,Fletchinder,Movimientos Especiales
219,Fletchling,Movimientos Especiales
220,Floatzel,Movimiento Ofensivo
221,Floette,Movimientos Especiales
222,Floette-Eternal,Movimientos Especiales
223,Florges,Movimientos Especiales
224,Flygon,Movimiento Ofensivo
225,Foongus,Movimientos Especiales
226,Forretress,Movimientos Especiales
227,Fraxure,Movimiento Ofensivo
228,Frillish,Movimientos Especiales
229,Froakie,Movimiento Ofensivo
230,Frogadier,Movimiento Ofensivo
231,Froslass,Movimientos Especiales
232,Furfrou,Movimientos Especiales
233,Furret,Movimiento Ofensivo
234,Gabite,Movimiento Ofensivo
235,Gallade,Movimientos Especiales
236,Galvantula,Movimientos Especiales
237,Garbodor,Movimientos Especiales
238,Gardevoir,Movimientos Especiales
239,Gastly,Movimientos Especiales
240,Gastrodon,Movimiento Ofensivo
241,Genesect,Movimiento Ofensivo
242,Gengar,Movimientos Especiales
243,Geodude,Movimiento Ofensivo
244,Gible,Movimiento Ofensivo
245,Gigalith,Movimiento Ofensivo
246,Girafarig,Movimientos Especiales
247,Giratina,Movimiento Ofensivo
248,Giratina-Origin,Movimiento Ofensivo
249,Glaceon,Movimiento Ofensivo
250,Glalie,Movimiento Ofensivo
251,Glameow,Movimientos Especiales
252,Gligar,Movimiento Ofensivo
253,Gliscor,Movimiento Ofensivo
254,Gloom,Movimientos Especiales
255,Gogoat,Movimientos Especiales
256,Golbat,Movimientos Especiales
257,Goldeen,Movimiento Ofensivo
258,Golduck,Movimiento Ofensivo
259,Golem,Movimiento Ofensivo
260,Golett,Movimiento Ofensivo
261,Golurk,Movimiento Ofensivo
262,Goodra,Movimiento Ofensivo
263,Goomy,Movimiento Ofensivo
264,Gorebyss,Movimiento Ofensivo
265,Gothita,Movimientos Especiales
266,Gothitelle,Movimientos Especiales
267,Gothorita,Movimientos Especiales
268,Gourgeist,Movimientos Especiales
269,Gourgeist-Large,Movimientos Genericos
270,Gourgeist-Small,Movimientos Genericos
271,Gourgeist-Super,Movimientos Genericos
272,Granbull,Movimiento Ofensivo
273,Graveler,Movimiento Ofensivo
274,Greninja,Movimiento Ofensivo
275,Grimer,Movimiento Ofensivo
276,Grotle,Movimientos Especiales
277,Grovyle,Movimiento Ofensivo
278,Growlithe,Movimiento Ofensivo
279,Grumpig,Movimientos Especiales
280,Gulpin,Movimientos Especiales
281,Gurdurr,Movimiento Ofensivo
282,Gyarados,Movimiento Ofensivo
283,Happiny,Movimientos Especiales
284,Hariyama,Movimiento Ofensivo
285,Haunter,Movimientos Especiales
286,Hawlucha,Movimientos Especiales
287,Haxorus,Movimiento Ofensivo
288,Heatmor,Movimiento Ofensivo
289,Heliolisk,Movimiento Ofensivo
290,Helioptile,Movimientos Especiales
291,Heracross,Movimiento Ofensivo
292,Herdier,Movimiento Ofensivo
293,Hippopotas,Movimiento Ofensivo
294,Hippowdon,Movimiento Ofensivo
295,Hitmonchan,Movimiento Ofensivo
296,Hitmonlee,Movimiento Ofensivo
297,Hitmontop,Movimiento Ofensivo
298,Honchkrow,Movimientos Especiales
299,Honedge,Movimientos Especiales
300,Ho-Oh,Movimientos Especiales
301,Hoopa,Movimientos Especiales
302,Hoopa-Unbound,Movimientos Especiales
303,Hoothoot,Movimientos Especiales
304,Hoppip,Movimientos Especiales
305,Horsea,Movimiento Ofensivo
306,Houndoom,Movimiento Ofensivo
307,Houndour,Movimiento Ofensivo
308,Huntail,Movimiento Ofensivo
309,Hydreigon,Movimiento Ofensivo
310,Hypno,Movimientos Especiales
311,Igglybuff,Movimientos Especiales
312,Illumise,Movimientos Especiales
313,Inkay,Movimientos Especiales
314,Ivysaur,Movimientos Especiales
315,Jellicent,Movimientos Especiales
316,Jigglypuff,Movimientos Especiales
317,Jirachi,Movimientos Especiales
318,Jolteon,Movimientos Especiales
319,Joltik,Movimientos Especiales
320,Jumpluff,Movimientos Especiales
321,Jynx,Movimientos Especiales
322,Kabuto,Movimiento Ofensivo
323,Kabutops,Movimiento Ofensivo
324,Kadabra,Movimientos Especiales
325,Kakuna,Movimientos Genericos
326,Kangaskhan,Movimiento Ofensivo
327,Karrablast,Movimientos Especiales
328,Kecleon,Movimiento Ofensivo
329,Keldeo,Movimiento Ofensivo
330,Kingdra,Movimiento Ofensivo
331,Kingler,Movimiento Ofensivo
332,Kirlia,Movimientos Especiales
333,Klang,Movimientos Especiales
334,Klefki,Movimientos Especiales
335,Klink,Movimientos Especiales
336,Klinklang,Movimientos Especiales
337,Koffing,Movimientos Especiales
338,Krabby,Movimiento Ofensivo
339,Kricketot,Movimientos Genericos
340,Kricketune,Movimientos Especiales
341,Krokorok,Movimiento Ofensivo
342,Krookodile,Movimiento Ofensivo
343,Kyogre,Movimiento Ofensivo
344,Kyurem,Movimiento Ofensivo
345,Kyurem-Black,Movimiento Ofensivo
346,Kyurem-White,Movimiento Ofensivo
347,Lairon,Movimiento Ofensivo
348,Lampent,Movimientos Especiales
349,Landorus,Movimiento Ofensivo
350,Landorus-Therian,Movimiento Ofensivo
351,Lanturn,Movimiento Ofensivo
352,Lapras,Movimiento Ofensivo
353,Larvesta,Movimientos Especiales
354,Larvitar,Movimiento Ofensivo
355,Latias,Movimientos Especiales
356,Latios,Movimientos Especiales
357,Leafeon,Movimientos Especiales
358,Leavanny,Movimientos Especiales
359,Ledian,Movimientos Especiales
360,Ledyba,Movimientos Especiales
361,Lickilicky,Movimiento Ofensivo
362,Lickitung,Movimiento Ofensivo
363,Liepard,Movimientos Especiales
364,Lileep,Movimientos Especiales
365,Lilligant,Movimientos Especiales
366,Lillipup,Movimiento Ofensivo
367,Linoone,Movimiento Ofensivo
368,Litleo,Movimiento Ofensivo
369,Litwick,Movimientos Especiales
370,Lombre,Movimiento Ofensivo
371,Lopunny,Movimiento Ofensivo
372,Lotad,Movimientos Especiales
373,Loudred,Movimiento Ofensivo
374,Lucario,Movimiento Ofensivo
375,Ludicolo,Movimiento Ofensivo
376,Lugia,Movimiento Ofensivo
377,Lumineon,Movimientos Especiales
378,Lunatone,Movimientos Especiales
379,Luvdisc,Movimientos Especiales
380,Luxio,Movimiento Ofensivo
381,Luxray,Movimiento Ofensivo
382,Machamp,Movimiento Ofensivo
383,Machoke,Movimiento Ofensivo
384,Machop,Movimiento Ofensivo
385,Magby,Movimiento Ofensivo
386,Magcargo,Movimientos Especiales
387,Magikarp,Movimientos Genericos
388,Magmar,Movimiento Ofensivo
389,Magmortar,Movimiento Ofensivo
390,Magnemite,Movimientos Especiales
391,Magneton,Movimientos Especiales
392,Magnezone,Movimientos Especiales
393,Makuhita,Movimiento Ofensivo
394,Malamar,Movimientos Especiales
395,Mamoswine,Movimiento Ofensivo
396,Manaphy,Movimientos Especiales
397,Mandibuzz,Movimientos Especiales
398,Manectric,Movimiento Ofensivo
399,Mankey,Movimiento Ofensivo
400,Mantine,Movimiento Ofensivo
401,Mantyke,Movimiento Ofensivo
402,Maractus,Movimientos Especiales
403,Mareep,Movimientos Especiales
404,Marill,Movimiento Ofensivo
405,Marowak,Movimiento Ofensivo
406,Marshtomp,Movimiento Ofensivo
407,Masquerain,Movimientos Especiales
408,Mawile,Movimiento Ofensivo
409,Medicham,Movimientos Especiales
410,Meditite,Movimientos Especiales
411,Meganium,Movimientos Especiales
412,Meloetta,Movimientos Especiales
413,Meowstic-F,Movimientos Especiales
414,Meowstic-M,Movimientos Especiales
415,Meowth,Movimiento Ofensivo
416,Metagross,Movimiento Ofensivo
417,Metang,Movimiento Ofensivo
418,Metapod,Movimientos Genericos
419,Mew,Movimiento Ofensivo
420,Mewtwo,Movimiento Ofensivo
421,Mienfoo,Movimientos Especiales
422,Mienshao,Movimientos Especiales
423,Mightyena,Movimiento Ofensivo
424,Milotic,Movimiento Ofensivo
425,Miltank,Movimiento Ofensivo
426,Mime Jr.,Movimientos Especiales
427,Minccino,Movimientos Especiales
428,Minun,Movimientos Especiales
429,Misdreavus,Movimientos Especiales
430,Mismagius,Movimientos Especiales
431,Moltres,Movimientos Especiales
432,Monferno,Movimiento Ofensivo
433,Mothim,Movimientos Especiales
434,Mr. Mime,Movimientos Especiales
435,Mudkip,Movimiento Ofensivo
436,Muk,Movimiento Ofensivo
437,Munchlax,Movimiento Ofensivo
438,Munna,Movimientos Especiales
439,Murkrow,Movimientos Especiales
440,Musharna,Movimientos Especiales
441,Natu,Movimientos Especiales
442,Nidoking,Movimiento Ofensivo
443,Nidoqueen,Movimiento Ofensivo
444,Nidoran-F,Movimiento Ofensivo
445,Nidoran-M,Movimiento Ofensivo
446,Nidorina,Movimiento Ofensivo
447,Nidorino,Movimiento Ofensivo
448,Nincada,Movimientos Especiales
449,Ninetales,Movimientos Especiales
450,Ninjask,Movimientos Especiales
451,Noctowl,Movimientos Especiales
452,Noibat,Movimientos Especiales
453,Noivern,Movimientos Especiales
454,Nosepass,Movimiento Ofensivo
455,Numel,Movimiento Ofensivo
456,Nuzleaf,Movimientos Especiales
457,Octillery,Movimiento Ofensivo
458,Oddish,Movimientos Especiales
459,Omanyte,Movimiento Ofensivo
460,Omastar,Movimiento Ofensivo
461,Onix,Movimiento Ofensivo
462,Oshawott,Movimiento Ofensivo
463,Pachirisu,Movimientos Especiales
464,Palkia,Movimiento Ofensivo
465,Palpitoad,Movimiento Ofensivo
466,Pancham,Movimiento Ofensivo
467,Pangoro,Movimiento Ofensivo
468,Panpour,Movimiento Ofensivo
469,Pansage,Movimientos Especiales
470,Pansear,Movimiento Ofensivo
471,Paras,Movimientos Especiales
472,Parasect,Movimientos Especiales
473,Patrat,Movimientos Especiales
474,Pawniard,Movimiento Ofensivo
475,Pelipper,Movimientos Especiales
476,Persian,Movimiento Ofensivo
477,Petilil,Movimientos Especiales
478,Phanpy,Movimiento Ofensivo
479,Phantump,Movimientos Especiales
480,Phione,Movimientos Especiales
481,Pichu,Movimientos Especiales
482,Pidgeot,Movimientos Especiales
483,Pidgeotto,Movimientos Especiales
484,Pidgey,Movimientos Especiales
485,Pidove,Movimientos Especiales
486,Pignite,Movimiento Ofensivo
487,Pikachu,Movimiento Ofensivo
488,Piloswine,Movimiento Ofensivo
489,Pineco,Movimientos Especiales
490,Pinsir,Movimiento Ofensivo
491,Piplup,Movimiento Ofensivo
492,Plusle,Movimientos Especiales
493,Politoed,Movimiento Ofensivo
494,Poliwag,Movimiento Ofensivo
495,Poliwhirl,Movimiento Ofensivo
496,Poliwrath,Movimiento Ofensivo
497,Ponyta,Movimiento Ofensivo
498,Poochyena,Movimiento Ofensivo
499,Porygon,Movimientos Especiales
500,Porygon2,Movimientos Especiales
501,Porygon-Z,Movimientos Especiales
502,Primeape,Movimiento Ofensivo
503,Prinplup,Movimiento Ofensivo
504,Probopass,Movimiento Ofensivo
505,Psyduck,Movimiento Ofensivo
506,Pumpkaboo,Movimientos Especiales
507,Pumpkaboo-Large,Movimientos Genericos
508,Pumpkaboo-Small,Movimientos Genericos
509,Pumpkaboo-Super,Movimientos Genericos
510,Pupitar,Movimiento Ofensivo
511,Purrloin,Movimientos Especiales
512,Purugly,Movimiento Ofensivo
513,Pyroar,Movimiento Ofensivo
514,Quagsire,Movimiento Ofensivo
515,Quilava,Movimiento Ofensivo
516,Quilladin,Movimiento Ofensivo
517,Qwilfish,Movimiento Ofensivo
518,Raichu,Movimiento Ofensivo
519,Raikou,Movimiento Ofensivo
520,Ralts,Movimientos Especiales
521,Rampardos,Movimiento Ofensivo
522,Rapidash,Movimiento Ofensivo
523,Raticate,Movimiento Ofensivo
524,Rattata,Movimiento Ofensivo
525,Regice,Movimiento Ofensivo
526,Regigigas,Movimiento Ofensivo
527,Regirock,Movimiento Ofensivo
528,Registeel,Movimiento Ofensivo
529,Relicanth,Movimiento Ofensivo
530,Remoraid,Movimiento Ofensivo
531,Reshiram,Movimiento Ofensivo
532,Reuniclus,Movimientos Especiales
533,Rhydon,Movimiento Ofensivo
534,Rhyhorn,Movimiento Ofensivo
535,Rhyperior,Movimiento Ofensivo
536,Riolu,Movimiento Ofensivo
537,Roggenrola,Movimientos Especiales
538,Roselia,Movimientos Especiales
539,Roserade,Movimientos Especiales
540,Rotom,Movimientos Especiales
541,Rotom-Fan,Movimientos Especiales
542,Rotom-Frost,Movimientos Especiales
543,Rotom-Heat,Movimientos Especiales
544,Rotom-Mow,Movimientos Especiales
545,Rotom-Wash,Movimientos Especiales
546,Rufflet,Movimientos Especiales
547,Sableye,Movimiento Ofensivo
548,Salamence,Movimiento Ofensivo
549,Samurott,Movimiento Ofensivo
550,Sandile,Movimiento Ofensivo
551,Sandshrew,Movimiento Ofensivo
552,Sandslash,Movimiento Ofensivo
553,Sawk,Movimiento Ofensivo
554,Sawsbuck,Movimientos Especiales
555,Scatterbug,Movimientos Genericos
556,Sceptile,Movimiento Ofensivo
557,Scizor,Movimientos Especiales
558,Scolipede,Movimiento Ofensivo
559,Scrafty,Movimiento Ofensivo
560,Scraggy,Movimiento Ofensivo
561,Scyther,Movimientos Especiales
562,Seadra,Movimiento Ofensivo
563,Seaking,Movimiento Ofensivo
564,Sealeo,Movimiento Ofensivo
565,Seedot,Movimientos Especiales
566,Seel,Movimientos Especiales
567,Seismitoad,Movimiento Ofensivo
568,Sentret,Movimiento Ofensivo
569,Serperior,Movimientos Especiales
570,Servine,Movimientos Especiales
571,Seviper,Movimiento Ofensivo
572,Sewaddle,Movimientos Especiales
573,Sharpedo,Movimiento Ofensivo
574,Shaymin,Movimientos Especiales
575,Shaymin-Sky,Movimientos Especiales
576,Shedinja,Movimientos Especiales
577,Shelgon,Movimiento Ofensivo
578,Shellder,Movimiento Ofensivo
579,Shellos,Movimientos Especiales
580,Shelmet,Movimientos Especiales
581,Shieldon,Movimiento Ofensivo
582,Shiftry,Movimiento Ofensivo
583,Shinx,Movimiento Ofensivo
584,Shroomish,Movimientos Especiales
585,Shuckle,Movimiento Ofensivo
586,Shuppet,Movimientos Especiales
587,Sigilyph,Movimientos Especiales
588,Silcoon,Movimientos Genericos
589,Simipour,Movimiento Ofensivo
590,Simisage,Movimiento Ofensivo
591,Simisear,Movimiento Ofensivo
592,Skarmory,Movimientos Especiales
593,Skiddo,Movimientos Especiales
594,Skiploom,Movimientos Especiales
595,Skitty,Movimientos Especiales
596,Skorupi,Movimiento Ofensivo
597,Skrelp,Movimiento Ofensivo
598,Skuntank,Movimiento Ofensivo
599,Slaking,Movimiento Ofensivo
600,Slakoth,Movimiento Ofensivo
601,Sliggoo,Movimiento Ofensivo
602,Slowbro,Movimiento Ofensivo
603,Slowking,Movimiento Ofensivo
604,Slowpoke,Movimientos Especiales
605,Slugma,Movimientos Especiales
606,Slurpuff,Movimientos Especiales
607,Smeargle,Movimientos Genericos
608,Smoochum,Movimientos Especiales
609,Sneasel,Movimiento Ofensivo
610,Snivy,Movimientos Especiales
611,Snorlax,Movimiento Ofensivo
612,Snorunt,Movimientos Especiales
613,Snover,Movimientos Especiales
614,Snubbull,Movimiento Ofensivo
615,Solosis,Movimientos Especiales
616,Solrock,Movimientos Especiales
617,Spearow,Movimientos Especiales
618,Spewpa,Movimientos Genericos
619,Spheal,Movimiento Ofensivo
620,Spinarak,Movimientos Especiales
621,Spinda,Movimientos Especiales
622,Spiritomb,Movimientos Especiales
623,Spoink,Movimientos Especiales
624,Spritzee,Movimientos Especiales
625,Squirtle,Movimiento Ofensivo
626,Stantler,Movimientos Especiales
627,Staraptor,Movimientos Especiales
628,Staravia,Movimientos Especiales
629,Starly,Movimientos Especiales
630,Starmie,Movimientos Especiales
631,Staryu,Movimientos Especiales
632,Steelix,Movimiento Ofensivo
633,Steelix-Mega,Movimiento Ofensivo
634,Stoutland,Movimiento Ofensivo
635,Stunfisk,Movimiento Ofensivo
636,Stunky,Movimiento Ofensivo
637,Sudowoodo,Movimiento Ofensivo
638,Suicune,Movimiento Ofensivo
639,Sunflora,Movimientos Especiales
640,Sunkern,Movimientos Especiales
641,Surskit,Movimientos Especiales
642,Swablu,Movimientos Especiales
643,Swadloon,Movimientos Especiales
644,Swalot,Movimientos Especiales
645,Swampert,Movimiento Ofensivo
646,Swanna,Movimientos Especiales
647,Swellow,Movimientos Especiales
648,Swinub,Movimiento Ofensivo
649,Swirlix,Movimientos Especiales
650,Swoobat,Movimientos Especiales
651,Sylveon,Movimientos Especiales
652,Taillow,Movimientos Especiales
653,Talonflame,Movimientos Especiales
654,Tangela,Movimientos Especiales
655,Tangrowth,Movimientos Especiales
656,Tauros,Movimiento Ofensivo
657,Teddiursa,Movimiento Ofensivo
658,Tentacool,Movimiento Ofensivo
659,Tentacruel,Movimiento Ofensivo
660,Tepig,Movimiento Ofensivo
661,Terrakion,Movimiento Ofensivo
662,Throh,Movimiento Ofensivo
663,Thundurus,Movimiento Ofensivo
664,Thundurus-Therian,Movimiento Ofensivo
665,Timburr,Movimiento Ofensivo
666,Tirtouga,Movimiento Ofensivo
667,Togekiss,Movimientos Especiales
668,Togepi,Movimientos Especiales
669,Togetic,Movimientos Especiales
670,Torchic,Movimiento Ofensivo
671,Torkoal,Movimiento Ofensivo
672,Tornadus,Movimiento Ofensivo
673,Tornadus-Therian,Movimiento Ofensivo
674,Torterra,Movimientos Especiales
675,Totodile,Movimiento Ofensivo
676,Toxicroak,Movimiento Ofensivo
677,Tranquill,Movimientos Especiales
678,Trapinch,Movimiento Ofensivo
679,Treecko,Movimiento Ofensivo
680,Trevenant,Movimientos Especiales
681,Tropius,Movimientos Especiales
682,Trubbish,Movimientos Especiales
683,Turtwig,Movimientos Especiales
684,Tympole,Movimiento Ofensivo
685,Tynamo,Movimientos Genericos
686,Typhlosion,Movimiento Ofensivo
687,Tyranitar,Movimiento Ofensivo
688,Tyrantrum,Movimiento Ofensivo
689,Tyrogue,Movimientos Especiales
690,Tyrunt,Movimiento Ofensivo
691,Umbreon,Movimientos Especiales
692,Unfezant,Movimientos Especiales
693,Unown,Movimientos Especiales
694,Ursaring,Movimiento Ofensivo
695,Uxie,Movimientos Especiales
696,Vanillish,Movimientos Especiales
697,Vanillite,Movimientos Especiales
698,Vanilluxe,Movimientos Especiales
699,Vaporeon,Movimiento Ofensivo
700,Venipede,Movimientos Especiales
701,Venomoth,Movimientos Especiales
702,Venonat,Movimientos Especiales
703,Venusaur,Movimientos Especiales
704,Vespiquen,Movimientos Especiales
705,Vibrava,Movimiento Ofensivo
706,Victini,Movimiento Ofensivo
707,Victreebel,Movimientos Especiales
708,Vigoroth,Movimiento Ofensivo
709,Vileplume,Movimientos Especiales
710,Virizion,Movimientos Especiales
711,Vivillon,Movimientos Especiales
712,Volbeat,Movimientos Especiales
713,Volcanion,Movimiento Ofensivo
714,Volcarona,Movimientos Especiales
715,Voltorb,Movimientos Especiales
716,Vullaby,Movimientos Especiales
717,Vulpix,Movimientos Especiales
718,Wailmer,Movimiento Ofensivo
719,Wailord,Movimiento Ofensivo
720,Walrein,Movimiento Ofensivo
721,Wartortle,Movimiento Ofensivo
722,Watchog,Movimiento Ofensivo
723,Weavile,Movimiento Ofensivo
724,Weedle,Movimientos Genericos
725,Weepinbell,Movimientos Especiales
726,Weezing,Movimientos Especiales
727,Whimsicott,Movimientos Especiales
728,Whirlipede,Movimientos Especiales
729,Whiscash,Movimiento Ofensivo
730,Whismur,Movimiento Ofensivo
731,Wigglytuff,Movimientos Especiales
732,Wingull,Movimientos Especiales
733,Wobbuffet,Movimientos Genericos
734,Woobat,Movimientos Especiales
735,Wooper,Movimiento Ofensivo
