,Pokemon,ClusterPokemones,TipoDominante
51,Baltoy,Movimientos Especiales,ground
52,Banette,Movimientos Especiales,poison
53,Barbaracle,Movimiento Ofensivo,poison
54,Barboach,Movimiento Ofensivo,water
55,Basculin,Movimiento Ofensivo,poison
56,Bastiodon,Movimiento Ofensivo,rock
57,Bayleef,Movimientos Especiales,grass
58,Beartic,Movimiento Ofensivo,ice
59,Beautifly,Movimientos Especiales,poison
60,Beedrill,Movimientos Especiales,poison
61,Beheeyem,Movimientos Especiales,dark
62,Beldum,Movimientos Genericos,bug
63,Bellossom,Movimientos Especiales,poison
64,Bellsprout,Movimientos Especiales,poison
65,Bergmite,Movimiento Ofensivo,rock
66,Bibarel,Movimiento Ofensivo,water
67,Bidoof,Movimiento Ofensivo,ice
68,Binacle,Movimiento Ofensivo,poison
69,Bisharp,Movimiento Ofensivo,poison
70,Blastoise,Movimiento Ofensivo,rock
71,Blaziken,Movimiento Ofensivo,fire
72,Blissey,Movimiento Ofensivo,ice
73,Blitzle,Movimientos Especiales,poison
74,Boldore,Movimientos Especiales,rock
75,Bonsly,Movimientos Especiales,rock
76,Bouffalant,Movimiento Ofensivo,poison
77,Braixen,Movimientos Especiales,fire
78,Braviary,Movimientos Especiales,rock
79,Breloom,Movimiento Ofensivo,poison
80,Bronzong,Movimientos Especiales,rock
81,Bronzor,Movimientos Especiales,rock
82,Budew,Movimientos Especiales,poison
83,Buizel,Movimiento Ofensivo,ice
84,Bulbasaur,Movimientos Especiales,poison
85,Buneary,Movimientos Especiales,ice
86,Bunnelby,Movimiento Ofensivo,poison
87,Burmy,Movimientos Especiales,bug
88,Butterfree,Movimientos Especiales,poison
89,Cacnea,Movimientos Especiales,poison
90,Cacturne,Movimientos Especiales,poison
91,Camerupt,Movimiento Ofensivo,rock
92,Carbink,Movimientos Especiales,rock
93,Carnivine,Movimientos Especiales,poison
94,Carracosta,Movimiento Ofensivo,rock
95,Carvanha,Movimiento Ofensivo,poison
96,Cascoon,Movimientos Genericos,poison
97,Castform,Movimientos Especiales,poison
98,Caterpie,Movimientos Genericos,bug
99,Celebi,Movimientos Especiales,poison
100,Chandelure,Movimientos Especiales,poison
101,Chansey,Movimiento Ofensivo,ice
102,Charmander,Movimiento Ofensivo,dragon
103,Charmeleon,Movimiento Ofensivo,dragon
104,Chatot,Movimientos Especiales,ice
105,Cherrim,Movimientos Especiales,grass
106,Cherubi,Movimientos Especiales,grass
107,Chesnaught,Movimiento Ofensivo,poison
108,Chespin,Movimiento Ofensivo,poison
109,Chikorita,Movimientos Especiales,grass
110,Chimchar,Movimiento Ofensivo,fire
111,Chimecho,Movimientos Especiales,ice
112,Chinchou,Movimiento Ofensivo,water
113,Chingling,Movimientos Especiales,ice
114,Cinccino,Movimientos Especiales,poison
115,Clamperl,Movimientos Especiales,poison
116,Clauncher,Movimiento Ofensivo,poison
117,Clawitzer,Movimiento Ofensivo,poison
118,Claydol,Movimientos Especiales,rock
119,Clefairy,Movimientos Especiales,ice
120,Cleffa,Movimientos Especiales,ground
121,Cloyster,Movimiento Ofensivo,poison
122,Cobalion,Movimientos Especiales,poison
123,Cofagrigus,Movimientos Especiales,poison
124,Combee,Movimientos Genericos,bug
125,Combusken,Movimiento Ofensivo,fire
126,Conkeldurr,Movimiento Ofensivo,poison
127,Corphish,Movimiento Ofensivo,ice
128,Corsola,Movimiento Ofensivo,rock
129,Cottonee,Movimientos Especiales,poison
130,Cradily,Movimientos Especiales,poison
131,Cranidos,Movimiento Ofensivo,rock
132,Crawdaunt,Movimiento Ofensivo,poison
133,Cresselia,Movimientos Especiales,ground
134,Croagunk,Movimiento Ofensivo,poison
135,Crobat,Movimientos Especiales,poison
136,Croconaw,Movimiento Ofensivo,water
137,Crustle,Movimiento Ofensivo,rock
138,Cryogonal,Movimientos Especiales,poison
139,Cubchoo,Movimiento Ofensivo,ice
140,Cubone,Movimiento Ofensivo,ice
141,Cyndaquil,Movimiento Ofensivo,fire
142,Darkrai,Movimiento Ofensivo,poison
143,Darmanitan,Movimiento Ofensivo,fire
144,Darumaka,Movimiento Ofensivo,fire
145,Dedenne,Movimientos Especiales,poison
146,Deerling,Movimientos Especiales,grass
147,Deino,Movimiento Ofensivo,dragon
148,Delcatty,Movimientos Especiales,ice
149,Delibird,Movimiento Ofensivo,ice
150,Delphox,Movimientos Especiales,fire
151,Deoxys,Movimiento Ofensivo,poison
152,Deoxys-Attack,Movimiento Ofensivo,poison
153,Deoxys-Defense,Movimiento Ofensivo,poison
154,Deoxys-Speed,Movimiento Ofensivo,poison
155,Dewgong,Movimiento Ofensivo,ice
156,Dewott,Movimiento Ofensivo,water
157,Dialga,Movimiento Ofensivo,dragon
158,Diancie,Movimientos Especiales,rock
159,Diggersby,Movimiento Ofensivo,poison
160,Diglett,Movimiento Ofensivo,poison
161,Ditto,Movimientos Genericos,bug
162,Dodrio,Movimientos Especiales,ice
163,Doduo,Movimientos Especiales,flying
164,Donphan,Movimiento Ofensivo,poison
165,Doublade,Movimientos Especiales,poison
166,Dragalge,Movimiento Ofensivo,poison
167,Dragonair,Movimiento Ofensivo,dragon
168,Dragonite,Movimiento Ofensivo,dragon
169,Drapion,Movimiento Ofensivo,poison
170,Dratini,Movimiento Ofensivo,dragon
171,Drifblim,Movimientos Especiales,poison
172,Drifloon,Movimientos Especiales,poison
173,Drilbur,Movimiento Ofensivo,poison
174,Drowzee,Movimientos Especiales,poison
175,Druddigon,Movimiento Ofensivo,poison
176,Ducklett,Movimientos Especiales,water
177,Dugtrio,Movimiento Ofensivo,poison
178,Dunsparce,Movimiento Ofensivo,poison
179,Duosion,Movimientos Especiales,ground
180,Durant,Movimiento Ofensivo,rock
181,Dusclops,Movimientos Especiales,ice
182,Dusknoir,Movimientos Especiales,ice
183,Duskull,Movimientos Especiales,ghost
184,Dustox,Movimientos Especiales,poison
185,Dwebble,Movimiento Ofensivo,rock
186,Eelektrik,Movimiento Ofensivo,poison
187,Eelektross,Movimiento Ofensivo,dragon
188,Eevee,Movimientos Especiales,ice
189,Ekans,Movimiento Ofensivo,poison
190,Electabuzz,Movimiento Ofensivo,ice
191,Electivire,Movimiento Ofensivo,rock
192,Electrike,Movimiento Ofensivo,poison
193,Electrode,Movimientos Especiales,poison
194,Elekid,Movimiento Ofensivo,ice
195,Elgyem,Movimientos Especiales,dark
196,Emboar,Movimiento Ofensivo,poison
197,Emolga,Movimientos Especiales,electric
198,Empoleon,Movimiento Ofensivo,rock
199,Entei,Movimiento Ofensivo,fire
200,Escavalier,Movimiento Ofensivo,poison
201,Espeon,Movimientos Especiales,ice
202,Espurr,Movimientos Especiales,ice
203,Excadrill,Movimiento Ofensivo,poison
204,Exeggcute,Movimientos Especiales,poison
205,Exeggutor,Movimientos Especiales,poison
206,Exploud,Movimiento Ofensivo,ice
207,Farfetch'd,Movimientos Especiales,poison
208,Fearow,Movimientos Especiales,flying
209,Feebas,Movimientos Especiales,dragon
210,Fennekin,Movimientos Especiales,fire
211,Feraligatr,Movimiento Ofensivo,dragon
212,Ferroseed,Movimientos Especiales,poison
213,Ferrothorn,Movimientos Especiales,poison
214,Finneon,Movimientos Especiales,water
215,Flaaffy,Movimientos Especiales,electric
216,Flabebe,Movimientos Especiales,grass
217,Flareon,Movimiento Ofensivo,fire
218,Fletchinder,Movimientos Especiales,flying
219,Fletchling,Movimientos Especiales,flying
220,Floatzel,Movimiento Ofensivo,ice
221,Floette,Movimientos Especiales,grass
222,Floette-Eternal,Movimientos Especiales,grass
223,Florges,Movimientos Especiales,grass
224,Flygon,Movimiento Ofensivo,dragon
225,Foongus,Movimientos Especiales,poison
226,Forretress,Movimientos Especiales,rock
227,Fraxure,Movimiento Ofensivo,dragon
228,Frillish,Movimientos Especiales,poison
229,Froakie,Movimiento Ofensivo,rock
230,Frogadier,Movimiento Ofensivo,ice
231,Froslass,Movimientos Especiales,ice
232,Furfrou,Movimientos Especiales,ice
233,Furret,Movimiento Ofensivo,ice
234,Gabite,Movimiento Ofensivo,dragon
235,Gallade,Movimientos Especiales,ice
236,Galvantula,Movimientos Especiales,poison
237,Garbodor,Movimientos Especiales,poison
238,Gardevoir,Movimientos Especiales,ice
239,Gastly,Movimientos Especiales,poison
240,Gastrodon,Movimiento Ofensivo,poison
241,Genesect,Movimiento Ofensivo,poison
242,Gengar,Movimientos Especiales,poison
243,Geodude,Movimiento Ofensivo,rock
244,Gible,Movimiento Ofensivo,dragon
245,Gigalith,Movimiento Ofensivo,rock
246,Girafarig,Movimientos Especiales,ice
247,Giratina,Movimiento Ofensivo,dragon
248,Giratina-Origin,Movimiento Ofensivo,dragon
249,Glaceon,Movimiento Ofensivo,ice
250,Glalie,Movimiento Ofensivo,ice
251,Glameow,Movimientos Especiales,ice
252,Gligar,Movimiento Ofensivo,poison
253,Gliscor,Movimiento Ofensivo,poison
254,Gloom,Movimientos Especiales,poison
255,Gogoat,Movimientos Especiales,poison
256,Golbat,Movimientos Especiales,poison
257,Goldeen,Movimiento Ofensivo,poison
258,Golduck,Movimiento Ofensivo,water
259,Golem,Movimiento Ofensivo,rock
260,Golett,Movimiento Ofensivo,rock
261,Golurk,Movimiento Ofensivo,rock
262,Goodra,Movimiento Ofensivo,poison
263,Goomy,Movimiento Ofensivo,poison
264,Gorebyss,Movimiento Ofensivo,water
265,Gothita,Movimientos Especiales,dark
266,Gothitelle,Movimientos Especiales,dark
267,Gothorita,Movimientos Especiales,dark
268,Gourgeist,Movimientos Especiales,poison
269,Gourgeist-Large,Movimientos Genericos,bug
270,Gourgeist-Small,Movimientos Genericos,bug
271,Gourgeist-Super,Movimientos Genericos,bug
272,Granbull,Movimiento Ofensivo,ice
273,Graveler,Movimiento Ofensivo,rock
274,Greninja,Movimiento Ofensivo,water
275,Grimer,Movimiento Ofensivo,poison
276,Grotle,Movimientos Especiales,grass
277,Grovyle,Movimiento Ofensivo,grass
278,Growlithe,Movimiento Ofensivo,fire
279,Grumpig,Movimientos Especiales,ice
280,Gulpin,Movimientos Especiales,poison
281,Gurdurr,Movimiento Ofensivo,poison
282,Gyarados,Movimiento Ofensivo,dragon
283,Happiny,Movimientos Especiales,ice
284,Hariyama,Movimiento Ofensivo,poison
285,Haunter,Movimientos Especiales,poison
286,Hawlucha,Movimientos Especiales,flying
287,Haxorus,Movimiento Ofensivo,dragon
288,Heatmor,Movimiento Ofensivo,fire
289,Heliolisk,Movimiento Ofensivo,electric
290,Helioptile,Movimientos Especiales,electric
291,Heracross,Movimiento Ofensivo,rock
292,Herdier,Movimiento Ofensivo,ice
293,Hippopotas,Movimiento Ofensivo,rock
294,Hippowdon,Movimiento Ofensivo,rock
295,Hitmonchan,Movimiento Ofensivo,rock
296,Hitmonlee,Movimiento Ofensivo,poison
297,Hitmontop,Movimiento Ofensivo,poison
298,Honchkrow,Movimientos Especiales,flying
299,Honedge,Movimientos Especiales,poison
300,Ho-Oh,Movimientos Especiales,flying
301,Hoopa,Movimientos Especiales,ice
302,Hoopa-Unbound,Movimientos Especiales,ice
303,Hoothoot,Movimientos Especiales,flying
304,Hoppip,Movimientos Especiales,poison
305,Horsea,Movimiento Ofensivo,dragon
306,Houndoom,Movimiento Ofensivo,poison
307,Houndour,Movimiento Ofensivo,poison
308,Huntail,Movimiento Ofensivo,ice
309,Hydreigon,Movimiento Ofensivo,dragon
310,Hypno,Movimientos Especiales,poison
311,Igglybuff,Movimientos Especiales,ground
312,Illumise,Movimientos Especiales,bug
313,Inkay,Movimientos Especiales,poison
314,Ivysaur,Movimientos Especiales,poison
315,Jellicent,Movimientos Especiales,poison
316,Jigglypuff,Movimientos Especiales,ice
317,Jirachi,Movimientos Especiales,ground
318,Jolteon,Movimientos Especiales,ice
319,Joltik,Movimientos Especiales,poison
320,Jumpluff,Movimientos Especiales,poison
321,Jynx,Movimientos Especiales,ice
322,Kabuto,Movimiento Ofensivo,rock
323,Kabutops,Movimiento Ofensivo,rock
324,Kadabra,Movimientos Especiales,ground
325,Kakuna,Movimientos Genericos,poison
326,Kangaskhan,Movimiento Ofensivo,rock
327,Karrablast,Movimientos Especiales,poison
328,Kecleon,Movimiento Ofensivo,rock
329,Keldeo,Movimiento Ofensivo,poison
330,Kingdra,Movimiento Ofensivo,dragon
331,Kingler,Movimiento Ofensivo,rock
332,Kirlia,Movimientos Especiales,ice
333,Klang,Movimientos Especiales,ground
334,Klefki,Movimientos Especiales,fairy
335,Klink,Movimientos Especiales,ground
336,Klinklang,Movimientos Especiales,ground
337,Koffing,Movimientos Especiales,poison
338,Krabby,Movimiento Ofensivo,rock
339,Kricketot,Movimientos Genericos,bug
340,Kricketune,Movimientos Especiales,bug
341,Krokorok,Movimiento Ofensivo,rock
342,Krookodile,Movimiento Ofensivo,rock
343,Kyogre,Movimiento Ofensivo,rock
344,Kyurem,Movimiento Ofensivo,dragon
345,Kyurem-Black,Movimiento Ofensivo,dragon
346,Kyurem-White,Movimiento Ofensivo,dragon
347,Lairon,Movimiento Ofensivo,rock
348,Lampent,Movimientos Especiales,poison
349,Landorus,Movimiento Ofensivo,rock
350,Landorus-Therian,Movimiento Ofensivo,rock
351,Lanturn,Movimiento Ofensivo,water
352,Lapras,Movimiento Ofensivo,ice
353,Larvesta,Movimientos Especiales,bug
354,Larvitar,Movimiento Ofensivo,rock
355,Latias,Movimientos Especiales,dragon
356,Latios,Movimientos Especiales,dragon
357,Leafeon,Movimientos Especiales,grass
358,Leavanny,Movimientos Especiales,poison
359,Ledian,Movimientos Especiales,bug
360,Ledyba,Movimientos Especiales,bug
361,Lickilicky,Movimiento Ofensivo,rock
362,Lickitung,Movimiento Ofensivo,rock
363,Liepard,Movimientos Especiales,ice
364,Lileep,Movimientos Especiales,poison
365,Lilligant,Movimientos Especiales,grass
366,Lillipup,Movimiento Ofensivo,ice
367,Linoone,Movimiento Ofensivo,ice
368,Litleo,Movimiento Ofensivo,fire
369,Litwick,Movimientos Especiales,poison
370,Lombre,Movimiento Ofensivo,ice
371,Lopunny,Movimiento Ofensivo,ice
372,Lotad,Movimientos Especiales,ice
373,Loudred,Movimiento Ofensivo,ice
374,Lucario,Movimiento Ofensivo,poison
375,Ludicolo,Movimiento Ofensivo,ice
376,Lugia,Movimiento Ofensivo,dragon
377,Lumineon,Movimientos Especiales,water
378,Lunatone,Movimientos Especiales,rock
379,Luvdisc,Movimientos Especiales,water
380,Luxio,Movimiento Ofensivo,ice
381,Luxray,Movimiento Ofensivo,electric
382,Machamp,Movimiento Ofensivo,poison
383,Machoke,Movimiento Ofensivo,poison
384,Machop,Movimiento Ofensivo,poison
385,Magby,Movimiento Ofensivo,fire
386,Magcargo,Movimientos Especiales,rock
387,Magikarp,Movimientos Genericos,bug
388,Magmar,Movimiento Ofensivo,fire
389,Magmortar,Movimiento Ofensivo,rock
390,Magnemite,Movimientos Especiales,ground
391,Magneton,Movimientos Especiales,ground
392,Magnezone,Movimientos Especiales,ground
393,Makuhita,Movimiento Ofensivo,poison
394,Malamar,Movimientos Especiales,poison
395,Mamoswine,Movimiento Ofensivo,ice
396,Manaphy,Movimientos Especiales,poison
397,Mandibuzz,Movimientos Especiales,flying
398,Manectric,Movimiento Ofensivo,electric
399,Mankey,Movimiento Ofensivo,poison
400,Mantine,Movimiento Ofensivo,poison
401,Mantyke,Movimiento Ofensivo,poison
402,Maractus,Movimientos Especiales,poison
403,Mareep,Movimientos Especiales,electric
404,Marill,Movimiento Ofensivo,water
405,Marowak,Movimiento Ofensivo,ice
406,Marshtomp,Movimiento Ofensivo,ice
407,Masquerain,Movimientos Especiales,bug
408,Mawile,Movimiento Ofensivo,ice
409,Medicham,Movimientos Especiales,poison
410,Meditite,Movimientos Especiales,poison
411,Meganium,Movimientos Especiales,grass
412,Meloetta,Movimientos Especiales,ice
413,Meowstic-F,Movimientos Especiales,ice
414,Meowstic-M,Movimientos Especiales,ice
415,Meowth,Movimiento Ofensivo,ice
416,Metagross,Movimiento Ofensivo,rock
417,Metang,Movimiento Ofensivo,rock
418,Metapod,Movimientos Genericos,bug
419,Mew,Movimiento Ofensivo,poison
420,Mewtwo,Movimiento Ofensivo,poison
421,Mienfoo,Movimientos Especiales,poison
422,Mienshao,Movimientos Especiales,poison
423,Mightyena,Movimiento Ofensivo,poison
424,Milotic,Movimiento Ofensivo,dragon
425,Miltank,Movimiento Ofensivo,ice
426,Mime Jr.,Movimientos Especiales,poison
427,Minccino,Movimientos Especiales,poison
428,Minun,Movimientos Especiales,ice
429,Misdreavus,Movimientos Especiales,ice
430,Mismagius,Movimientos Especiales,ice
431,Moltres,Movimientos Especiales,fire
432,Monferno,Movimiento Ofensivo,poison
433,Mothim,Movimientos Especiales,poison
434,Mr. Mime,Movimientos Especiales,ground
435,Mudkip,Movimiento Ofensivo,poison
436,Muk,Movimiento Ofensivo,poison
437,Munchlax,Movimiento Ofensivo,rock
438,Munna,Movimientos Especiales,ground
439,Murkrow,Movimientos Especiales,flying
440,Musharna,Movimientos Especiales,ground
441,Natu,Movimientos Especiales,flying
442,Nidoking,Movimiento Ofensivo,poison
443,Nidoqueen,Movimiento Ofensivo,poison
444,Nidoran-F,Movimiento Ofensivo,poison
445,Nidoran-M,Movimiento Ofensivo,poison
446,Nidorina,Movimiento Ofensivo,poison
447,Nidorino,Movimiento Ofensivo,poison
448,Nincada,Movimientos Especiales,bug
449,Ninetales,Movimientos Especiales,fire
450,Ninjask,Movimientos Especiales,bug
451,Noctowl,Movimientos Especiales,flying
452,Noibat,Movimientos Especiales,ice
453,Noivern,Movimientos Especiales,ice
454,Nosepass,Movimiento Ofensivo,rock
455,Numel,Movimiento Ofensivo,rock
456,Nuzleaf,Movimientos Especiales,rock
457,Octillery,Movimiento Ofensivo,poison
458,Oddish,Movimientos Especiales,poison
459,Omanyte,Movimiento Ofensivo,rock
460,Omastar,Movimiento Ofensivo,rock
461,Onix,Movimiento Ofensivo,rock
462,Oshawott,Movimiento Ofensivo,water
463,Pachirisu,Movimientos Especiales,poison
464,Palkia,Movimiento Ofensivo,dragon
465,Palpitoad,Movimiento Ofensivo,poison
466,Pancham,Movimiento Ofensivo,ice
467,Pangoro,Movimiento Ofensivo,poison
468,Panpour,Movimiento Ofensivo,ice
469,Pansage,Movimientos Especiales,ice
470,Pansear,Movimiento Ofensivo,fire
471,Paras,Movimientos Especiales,poison
472,Parasect,Movimientos Especiales,poison
473,Patrat,Movimientos Especiales,poison
474,Pawniard,Movimiento Ofensivo,poison
475,Pelipper,Movimientos Especiales,water
476,Persian,Movimiento Ofensivo,ice
477,Petilil,Movimientos Especiales,grass
478,Phanpy,Movimiento Ofensivo,ice
479,Phantump,Movimientos Especiales,poison
480,Phione,Movimientos Especiales,poison
481,Pichu,Movimientos Especiales,ice
482,Pidgeot,Movimientos Especiales,flying
483,Pidgeotto,Movimientos Especiales,flying
484,Pidgey,Movimientos Especiales,flying
485,Pidove,Movimientos Especiales,flying
486,Pignite,Movimiento Ofensivo,poison
487,Pikachu,Movimiento Ofensivo,ice
488,Piloswine,Movimiento Ofensivo,ice
489,Pineco,Movimientos Especiales,poison
490,Pinsir,Movimiento Ofensivo,rock
491,Piplup,Movimiento Ofensivo,ice
492,Plusle,Movimientos Especiales,ice
493,Politoed,Movimiento Ofensivo,ice
494,Poliwag,Movimiento Ofensivo,water
495,Poliwhirl,Movimiento Ofensivo,ice
496,Poliwrath,Movimiento Ofensivo,poison
497,Ponyta,Movimiento Ofensivo,fire
498,Poochyena,Movimiento Ofensivo,poison
499,Porygon,Movimientos Especiales,ground
500,Porygon2,Movimientos Especiales,ground
501,Porygon-Z,Movimientos Especiales,ground
502,Primeape,Movimiento Ofensivo,poison
503,Prinplup,Movimiento Ofensivo,ice
504,Probopass,Movimiento Ofensivo,rock
505,Psyduck,Movimiento Ofensivo,water
506,Pumpkaboo,Movimientos Especiales,poison
507,Pumpkaboo-Large,Movimientos Genericos,bug
508,Pumpkaboo-Small,Movimientos Genericos,bug
509,Pumpkaboo-Super,Movimientos Genericos,bug
510,Pupitar,Movimiento Ofensivo,rock
511,Purrloin,Movimientos Especiales,ice
512,Purugly,Movimiento Ofensivo,ice
513,Pyroar,Movimiento Ofensivo,fire
514,Quagsire,Movimiento Ofensivo,poison
515,Quilava,Movimiento Ofensivo,fire
516,Quilladin,Movimiento Ofensivo,poison
517,Qwilfish,Movimiento Ofensivo,poison
518,Raichu,Movimiento Ofensivo,ice
519,Raikou,Movimiento Ofensivo,poison
520,Ralts,Movimientos Especiales,ice
521,Rampardos,Movimiento Ofensivo,rock
522,Rapidash,Movimiento Ofensivo,poison
523,Raticate,Movimiento Ofensivo,poison
524,Rattata,Movimiento Ofensivo,poison
525,Regice,Movimiento Ofensivo,rock
526,Regigigas,Movimiento Ofensivo,rock
527,Regirock,Movimiento Ofensivo,rock
528,Registeel,Movimiento Ofensivo,rock
529,Relicanth,Movimiento Ofensivo,rock
530,Remoraid,Movimiento Ofensivo,water
531,Reshiram,Movimiento Ofensivo,dragon
532,Reuniclus,Movimientos Especiales,rock
533,Rhydon,Movimiento Ofensivo,rock
534,Rhyhorn,Movimiento Ofensivo,rock
535,Rhyperior,Movimiento Ofensivo,rock
536,Riolu,Movimiento Ofensivo,poison
537,Roggenrola,Movimientos Especiales,rock
538,Roselia,Movimientos Especiales,poison
539,Roserade,Movimientos Especiales,poison
540,Rotom,Movimientos Especiales,poison
541,Rotom-Fan,Movimientos Especiales,poison
542,Rotom-Frost,Movimientos Especiales,poison
543,Rotom-Heat,Movimientos Especiales,poison
544,Rotom-Mow,Movimientos Especiales,poison
545,Rotom-Wash,Movimientos Especiales,poison
546,Rufflet,Movimientos Especiales,rock
547,Sableye,Movimiento Ofensivo,poison
548,Salamence,Movimiento Ofensivo,dragon
549,Samurott,Movimiento Ofensivo,water
550,Sandile,Movimiento Ofensivo,poison
551,Sandshrew,Movimiento Ofensivo,poison
552,Sandslash,Movimiento Ofensivo,poison
553,Sawk,Movimiento Ofensivo,poison
554,Sawsbuck,Movimientos Especiales,grass
555,Scatterbug,Movimientos Genericos,poison
556,Sceptile,Movimiento Ofensivo,grass
557,Scizor,Movimientos Especiales,poison
558,Scolipede,Movimiento Ofensivo,poison
559,Scrafty,Movimiento Ofensivo,poison
560,Scraggy,Movimiento Ofensivo,poison
561,Scyther,Movimientos Especiales,bug
562,Seadra,Movimiento Ofensivo,dragon
563,Seaking,Movimiento Ofensivo,poison
564,Sealeo,Movimiento Ofensivo,ice
565,Seedot,Movimientos Especiales,grass
566,Seel,Movimientos Especiales,ice
567,Seismitoad,Movimiento Ofensivo,poison
568,Sentret,Movimiento Ofensivo,ice
569,Serperior,Movimientos Especiales,grass
570,Servine,Movimientos Especiales,grass
571,Seviper,Movimiento Ofensivo,poison
572,Sewaddle,Movimientos Especiales,bug
573,Sharpedo,Movimiento Ofensivo,poison
574,Shaymin,Movimientos Especiales,grass
575,Shaymin-Sky,Movimientos Especiales,grass
576,Shedinja,Movimientos Especiales,bug
577,Shelgon,Movimiento Ofensivo,dragon
578,Shellder,Movimiento Ofensivo,ice
579,Shellos,Movimientos Especiales,poison
580,Shelmet,Movimientos Especiales,poison
581,Shieldon,Movimiento Ofensivo,rock
582,Shiftry,Movimiento Ofensivo,rock
583,Shinx,Movimiento Ofensivo,ice
584,Shroomish,Movimientos Especiales,poison
585,Shuckle,Movimiento Ofensivo,rock
586,Shuppet,Movimientos Especiales,poison
587,Sigilyph,Movimientos Especiales,flying
588,Silcoon,Movimientos Genericos,poison
589,Simipour,Movimiento Ofensivo,ice
590,Simisage,Movimiento Ofensivo,ice
591,Simisear,Movimiento Ofensivo,fire
592,Skarmory,Movimientos Especiales,rock
593,Skiddo,Movimientos Especiales,poison
594,Skiploom,Movimientos Especiales,poison
595,Skitty,Movimientos Especiales,ice
596,Skorupi,Movimiento Ofensivo,poison
597,Skrelp,Movimiento Ofensivo,poison
598,Skuntank,Movimiento Ofensivo,poison
599,Slaking,Movimiento Ofensivo,rock
600,Slakoth,Movimiento Ofensivo,poison
601,Sliggoo,Movimiento Ofensivo,poison
602,Slowbro,Movimiento Ofensivo,ice
603,Slowking,Movimiento Ofensivo,ice
604,Slowpoke,Movimientos Especiales,ice
605,Slugma,Movimientos Especiales,rock
606,Slurpuff,Movimientos Especiales,poison
607,Smeargle,Movimientos Genericos,bug
608,Smoochum,Movimientos Especiales,ice
609,Sneasel,Movimiento Ofensivo,ice
610,Snivy,Movimientos Especiales,grass
611,Snorlax,Movimiento Ofensivo,rock
612,Snorunt,Movimientos Especiales,ice
613,Snover,Movimientos Especiales,ice
614,Snubbull,Movimiento Ofensivo,ice
615,Solosis,Movimientos Especiales,ground
616,Solrock,Movimientos Especiales,rock
617,Spearow,Movimientos Especiales,flying
618,Spewpa,Movimientos Genericos,poison
619,Spheal,Movimiento Ofensivo,ice
620,Spinarak,Movimientos Especiales,poison
621,Spinda,Movimientos Especiales,rock
622,Spiritomb,Movimientos Especiales,poison
623,Spoink,Movimientos Especiales,poison
624,Spritzee,Movimientos Especiales,ice
625,Squirtle,Movimiento Ofensivo,water
626,Stantler,Movimientos Especiales,poison
627,Staraptor,Movimientos Especiales,flying
628,Staravia,Movimientos Especiales,flying
629,Starly,Movimientos Especiales,flying
630,Starmie,Movimientos Especiales,ground
631,Staryu,Movimientos Especiales,poison
632,Steelix,Movimiento Ofensivo,rock
633,Steelix-Mega,Movimiento Ofensivo,rock
